S5f, S5Zc,S5Z, S5Pc,S5P
3.00E+00,5.33E+04,8.98E+04,-2.84E+01,-6.53E+00
4.00E+00,4.62E+04,8.91E+04,-2.91E+01,-8.64E+00
5.00E+00,4.16E+04,8.82E+04,-2.95E+01,-1.07E+01
6.00E+00,3.82E+04,8.71E+04,-2.94E+01,-1.27E+01
7.00E+00,3.57E+04,8.58E+04,-2.92E+01,-1.46E+01
8.00E+00,3.37E+04,8.45E+04,-2.89E+01,-1.64E+01
9.00E+00,3.20E+04,8.30E+04,-2.85E+01,-1.82E+01
1.00E+01,3.07E+04,8.15E+04,-2.79E+01,-1.98E+01
1.50E+01,2.63E+04,7.33E+04,-2.65E+01,-2.66E+01
2.00E+01,2.39E+04,6.55E+04,-2.45E+01,-3.13E+01
2.50E+01,2.23E+04,5.87E+04,-2.30E+01,-3.42E+01
3.00E+01,2.13E+04,5.31E+04,-2.14E+01,-3.59E+01
3.50E+01,2.05E+04,4.85E+04,-2.04E+01,-3.66E+01
4.00E+01,1.99E+04,4.48E+04,-1.93E+01,-3.68E+01
4.50E+01,1.94E+04,4.18E+04,-1.85E+01,-3.65E+01
5.00E+01,1.90E+04,3.93E+04,-1.77E+01,-3.59E+01
5.50E+01,1.87E+04,3.72E+04,-1.71E+01,-3.52E+01
6.00E+01,1.84E+04,3.55E+04,-1.65E+01,-3.43E+01
6.50E+01,1.82E+04,3.41E+04,-1.60E+01,-3.34E+01
7.00E+01,1.80E+04,3.28E+04,-1.55E+01,-3.24E+01
7.50E+01,1.78E+04,3.18E+04,-1.52E+01,-3.15E+01
8.00E+01,1.76E+04,3.09E+04,-1.48E+01,-3.05E+01
8.50E+01,1.75E+04,3.01E+04,-1.44E+01,-2.95E+01
9.00E+01,1.74E+04,2.95E+04,-1.42E+01,-2.86E+01
9.50E+01,1.73E+04,2.89E+04,-1.39E+01,-2.77E+01
1.00E+02,1.72E+04,2.84E+04,-1.36E+01,-2.69E+01
1.50E+02,1.65E+04,2.55E+04,-1.25E+01,-2.01E+01
2.00E+02,1.61E+04,2.44E+04,-1.19E+01,-1.58E+01
2.50E+02,1.58E+04,2.38E+04,-1.19E+01,-1.30E+01
3.00E+02,1.55E+04,2.35E+04,-1.21E+01,-1.10E+01
3.50E+02,1.53E+04,2.34E+04,-1.25E+01,-9.58E+00
4.00E+02,1.51E+04,2.32E+04,-1.29E+01,-8.49E+00
4.50E+02,1.49E+04,2.32E+04,-1.34E+01,-7.65E+00
5.00E+02,1.47E+04,2.31E+04,-1.38E+01,-6.97E+00
5.50E+02,1.46E+04,2.30E+04,-1.44E+01,-6.42E+00
6.00E+02,1.44E+04,2.30E+04,-1.49E+01,-5.97E+00
6.50E+02,1.42E+04,2.30E+04,-1.55E+01,-5.59E+00
7.00E+02,1.41E+04,2.30E+04,-1.60E+01,-5.26E+00
7.50E+02,1.39E+04,2.30E+04,-1.65E+01,-4.99E+00
8.00E+02,1.38E+04,2.29E+04,-1.68E+01,-4.75E+00
8.50E+02,1.36E+04,2.29E+04,-1.73E+01,-4.55E+00
9.00E+02,1.35E+04,2.29E+04,-1.77E+01,-4.37E+00
9.50E+02,1.34E+04,2.29E+04,-1.82E+01,-4.22E+00
1.00E+03,1.33E+04,2.29E+04,-1.86E+01,-4.08E+00
1.50E+03,1.21E+04,2.29E+04,-2.25E+01,-3.36E+00
2.00E+03,1.12E+04,2.28E+04,-2.51E+01,-3.19E+00
2.50E+03,1.05E+04,2.28E+04,-2.75E+01,-3.24E+00
3.00E+03,9.88E+03,2.28E+04,-2.91E+01,-3.40E+00
3.50E+03,9.35E+03,2.28E+04,-3.07E+01,-3.62E+00
4.00E+03,8.89E+03,2.28E+04,-3.19E+01,-3.88E+00
4.50E+03,8.49E+03,2.28E+04,-3.30E+01,-4.17E+00
5.00E+03,8.16E+03,2.28E+04,-3.39E+01,-4.48E+00
5.50E+03,7.82E+03,2.28E+04,-3.49E+01,-4.80E+00
6.00E+03,7.54E+03,2.28E+04,-3.55E+01,-5.13E+00
6.50E+03,7.27E+03,2.27E+04,-3.62E+01,-5.46E+00
7.00E+03,7.04E+03,2.27E+04,-3.67E+01,-5.81E+00
7.50E+03,6.82E+03,2.27E+04,-3.73E+01,-6.15E+00
8.00E+03,6.62E+03,2.27E+04,-3.77E+01,-6.50E+00
8.50E+03,6.44E+03,2.27E+04,-3.82E+01,-6.85E+00
9.00E+03,6.26E+03,2.27E+04,-3.85E+01,-7.21E+00
9.50E+03,6.10E+03,2.26E+04,-3.88E+01,-7.57E+00
1.00E+04,5.96E+03,2.26E+04,-3.91E+01,-7.92E+00
1.25E+04,5.32E+03,2.25E+04,-4.07E+01,-9.72E+00
1.50E+04,4.84E+03,2.24E+04,-4.15E+01,-1.15E+01
1.75E+04,4.47E+03,2.22E+04,-4.20E+01,-1.33E+01
2.00E+04,4.17E+03,2.20E+04,-4.23E+01,-1.51E+01
2.25E+04,3.92E+03,2.18E+04,-4.27E+01,-1.68E+01
2.50E+04,3.70E+03,2.16E+04,-4.29E+01,-1.85E+01
2.75E+04,3.52E+03,2.13E+04,-4.30E+01,-2.02E+01
3.00E+04,3.35E+03,2.11E+04,-4.30E+01,-2.18E+01
3.25E+04,3.21E+03,2.08E+04,-4.30E+01,-2.34E+01
3.50E+04,3.08E+03,2.06E+04,-4.30E+01,-2.49E+01
3.75E+04,2.97E+03,2.03E+04,-4.30E+01,-2.64E+01
4.00E+04,2.86E+03,2.00E+04,-4.28E+01,-2.79E+01
4.25E+04,2.77E+03,1.97E+04,-4.27E+01,-2.93E+01
4.50E+04,2.68E+03,1.94E+04,-4.26E+01,-3.07E+01
4.75E+04,2.61E+03,1.91E+04,-4.24E+01,-3.20E+01
5.00E+04,2.54E+03,1.88E+04,-4.22E+01,-3.33E+01
