S1f, S1Zc,S1Z, S1Pc,S1P
1.000000000000000000e+00,1.267434182599970518e+05,9.070840360881028755e+04,-1.518420086875235953e+01,-2.198257524589750656e+00
2.000000000000000000e+00,1.060751441741957387e+05,9.037628623763979704e+04,-1.976232540316078357e+01,-4.381429585466160681e+00
3.000000000000000000e+00,9.582688995765906293e+04,8.983149051896887249e+04,-1.614255168132992679e+01,-6.534905107360954091e+00
4.000000000000000000e+00,8.897852923527924577e+04,8.908653305839483801e+04,-1.705205355375636600e+01,-8.644985611736057507e+00
5.000000000000000000e+00,8.418733798385511909e+04,8.815784358627820620e+04,-1.801472527901374576e+01,-1.069925610442036401e+01
6.000000000000000000e+00,8.020002403383872297e+04,8.706482715977956832e+04,-1.862111071753249547e+01,-1.268686648152501739e+01
7.000000000000000000e+00,7.679233683648114675e+04,8.582884765257274557e+04,-1.917361670351817793e+01,-1.459871235375803522e+01
8.000000000000000000e+00,7.395157350031546957e+04,8.447222618496223004e+04,-1.940242620282123909e+01,-1.642751525825652692e+01
9.000000000000000000e+00,7.147973389955279708e+04,8.301733121168900107e+04,-1.960446500196474773e+01,-1.816781154726513137e+01
1.000000000000000000e+01,6.939371819409262389e+04,8.148581304352916777e+04,-1.951321284872484085e+01,-1.981586572533577595e+01
1.500000000000000000e+01,6.251374532053047733e+04,7.332585224237316288e+04,-2.002736547127915401e+01,-2.664221432394795386e+01
2.000000000000000000e+01,5.820131686256222747e+04,6.548261236919544899e+04,-1.995378204232855524e+01,-3.129119565138020675e+01
2.500000000000000000e+01,5.502439889406318980e+04,5.869493421336902975e+04,-2.014016394829445034e+01,-3.421119411143483546e+01
3.000000000000000000e+01,5.257213313627280149e+04,5.307726723456093168e+04,-1.996278507552963433e+01,-3.586610289373535210e+01
3.500000000000000000e+01,5.063941270367183461e+04,4.850225038158843381e+04,-1.995930327143341998e+01,-3.662904749526448001e+01
4.000000000000000000e+01,4.904847464522723021e+04,4.478591407094457099e+04,-1.977714876091650709e+01,-3.677466196518935959e+01
4.500000000000000000e+01,4.766757517038451624e+04,4.175571139061498980e+04,-1.970674869217845426e+01,-3.649869308389139633e+01
5.000000000000000000e+01,4.662980870717937069e+04,3.926864647165517090e+04,-1.959231695387163441e+01,-3.593931781128971181e+01
5.500000000000000000e+01,4.547530024514166871e+04,3.721162360098473437e+04,-1.959578871341870610e+01,-3.519396349285832315e+01
6.000000000000000000e+01,4.461342012638123560e+04,3.549672015972516965e+04,-1.937565320815602732e+01,-3.433140481703453162e+01
6.500000000000000000e+01,4.381817066252599761e+04,3.405585177131729870e+04,-1.933454589326900219e+01,-3.340021538555832592e+01
7.000000000000000000e+01,4.310122850809378724e+04,3.283616757452740421e+04,-1.918053462512257212e+01,-3.243464397520347120e+01
7.500000000000000000e+01,4.249062288954009273e+04,3.179641421379214444e+04,-1.917296251114513339e+01,-3.145871990525806083e+01
8.000000000000000000e+01,4.184046770067488978e+04,3.090416550880095383e+04,-1.907494308931292082e+01,-3.048914470831953238e+01
8.500000000000000000e+01,4.128050466255554056e+04,3.013374044908781434e+04,-1.902915711156408918e+01,-2.953734666236789863e+01
9.000000000000000000e+01,4.071464291219109873e+04,2.946464352463915930e+04,-1.885255868435930537e+01,-2.861095216782325679e+01
9.500000000000000000e+01,4.027398514735733625e+04,2.888039385509559725e+04,-1.873070962374890414e+01,-2.771484660188234628e+01
1.000000000000000000e+02,3.984056400458985445e+04,2.836764185661487136e+04,-1.852182566590666113e+01,-2.685194332788899274e+01
1.500000000000000000e+02,3.705949199504722492e+04,2.549555618026808224e+04,-1.846526680925060404e+01,-2.005933281048658401e+01
2.000000000000000000e+02,3.528899463289477717e+04,2.437923131338643725e+04,-1.875915076824842487e+01,-1.578802492797189316e+01
2.500000000000000000e+02,3.342222103766895452e+04,2.383900330844960263e+04,-1.920368203802316032e+01,-1.297324464783291731e+01
3.000000000000000000e+02,3.231265252411422625e+04,2.353873678251716774e+04,-1.913899064105143921e+01,-1.101101276244718008e+01
3.500000000000000000e+02,3.139348452499896302e+04,2.335524048158959340e+04,-1.948124554041601186e+01,-9.577942039364078397e+00
4.000000000000000000e+02,3.061757278486273208e+04,2.323511207669286887e+04,-1.977100274520712730e+01,-8.492172212607666637e+00
4.500000000000000000e+02,2.992187071138107422e+04,2.315225479349786110e+04,-2.024253007379009262e+01,-7.645312963427079112e+00
5.000000000000000000e+02,2.928581009321132660e+04,2.309271742339108823e+04,-2.060893784460193956e+01,-6.969296988181571173e+00
5.500000000000000000e+02,2.870973405338831799e+04,2.304850268312106346e+04,-2.106919259273230338e+01,-6.419430411223114419e+00
6.000000000000000000e+02,2.819029314630540102e+04,2.301476327452146870e+04,-2.144829630453799041e+01,-5.965239707585339168e+00
6.500000000000000000e+02,2.769137992929829124e+04,2.298842404452601841e+04,-2.191908958093909021e+01,-5.585272430123361609e+00
7.000000000000000000e+02,2.722963530172432365e+04,2.296745855338771798e+04,-2.229320884874823605e+01,-5.264008653936235405e+00
7.500000000000000000e+02,2.678441502816974753e+04,2.295048782574421784e+04,-2.272320734582761403e+01,-4.989953075037752761e+00
8.000000000000000000e+02,2.638314664148505835e+04,2.293654728326885379e+04,-2.307147302970171410e+01,-4.754415485032457589e+00
8.500000000000000000e+02,2.599425157778932044e+04,2.292494592382951305e+04,-2.351331615037878109e+01,-4.550707567985599056e+00
9.000000000000000000e+02,2.558575339410647575e+04,2.291517828955750520e+04,-2.382998684790148047e+01,-4.373599761970240252e+00
9.500000000000000000e+02,2.524396397353476277e+04,2.290686777522810371e+04,-2.417202681277586507e+01,-4.218945301412190041e+00
1.000000000000000000e+03,2.489713141452785567e+04,2.289972915168909822e+04,-2.444585857285618502e+01,-4.083414509894874200e+00
1.500000000000000000e+03,2.213723385258601411e+04,2.286134670845151413e+04,-2.759133172492543196e+01,-3.361997580027585641e+00
2.000000000000000000e+03,2.021975036445104706e+04,2.284503911389150380e+04,-2.952097586303627708e+01,-3.190529599641628522e+00
2.500000000000000000e+03,1.868062932705317871e+04,2.283435587482855044e+04,-3.145104321005256764e+01,-3.239829019684681732e+00
3.000000000000000000e+03,1.744433331146778437e+04,2.282523192239655327e+04,-3.272720622833930548e+01,-3.399583380516478126e+00
3.500000000000000000e+03,1.639727416560798883e+04,2.281627514953334321e+04,-3.395633943194679460e+01,-3.622390677216571042e+00
4.000000000000000000e+03,1.553609790052176504e+04,2.280690576967749803e+04,-3.481699738210894424e+01,-3.884503647794760983e+00
4.500000000000000000e+03,1.476894838355318825e+04,2.279684876666197670e+04,-3.572557216176765138e+01,-4.172703690474904192e+00
5.000000000000000000e+03,1.409424768361808310e+04,2.278596136458204637e+04,-3.631082223264053255e+01,-4.479041327662377725e+00
5.500000000000000000e+03,1.352520332946450435e+04,2.277416469607689942e+04,-3.693544684747688933e+01,-4.798442939886557568e+00
6.000000000000000000e+03,1.299739234452566234e+04,2.276141349221769269e+04,-3.740673832233514418e+01,-5.127513279809233993e+00
