S9f, S9Zc,S9Z, S9Pc,S9P
1.000000000000000000e+00,7.928147468090031180e+04,9.070840360881028755e+04,-1.238032524556613012e+01,-2.198257524589750656e+00
2.000000000000000000e+00,6.892895754849851073e+04,9.037628623763979704e+04,-1.628613521457172908e+01,-4.381429585466160681e+00
3.000000000000000000e+00,6.443280103334506566e+04,8.983149051896887249e+04,-1.444445867622039614e+01,-6.534905107360954091e+00
4.000000000000000000e+00,6.027757309212836117e+04,8.908653305839483801e+04,-1.610395542077892017e+01,-8.644985611736057507e+00
5.000000000000000000e+00,5.741523895626899321e+04,8.815784358627820620e+04,-1.759575769186041683e+01,-1.069925610442036401e+01
6.000000000000000000e+00,5.482658459237134230e+04,8.706482715977956832e+04,-1.872128782576858796e+01,-1.268686648152501739e+01
7.000000000000000000e+00,5.251780795075555216e+04,8.582884765257274557e+04,-1.969845578565012190e+01,-1.459871235375803522e+01
8.000000000000000000e+00,5.062270101796456584e+04,8.447222618496223004e+04,-2.038469501596593858e+01,-1.642751525825652692e+01
9.000000000000000000e+00,4.874867111634499452e+04,8.301733121168900107e+04,-2.098775279026395424e+01,-1.816781154726513137e+01
1.000000000000000000e+01,4.722314328989581554e+04,8.148581304352916777e+04,-2.123043223528437906e+01,-1.981586572533577595e+01
1.500000000000000000e+01,4.154335898672857729e+04,7.332585224237316288e+04,-2.258721173689242789e+01,-2.664221432394795386e+01
2.000000000000000000e+01,3.800403897337200760e+04,6.548261236919544899e+04,-2.261415596197186773e+01,-3.129119565138020675e+01
2.500000000000000000e+01,3.545085620351026591e+04,5.869493421336902975e+04,-2.263635911819574886e+01,-3.421119411143483546e+01
3.000000000000000000e+01,3.355862374924212781e+04,5.307726723456093168e+04,-2.219054922998934032e+01,-3.586610289373535210e+01
3.500000000000000000e+01,3.210335249714130623e+04,4.850225038158843381e+04,-2.187907512093451601e+01,-3.662904749526448001e+01
4.000000000000000000e+01,3.094988041698217057e+04,4.478591407094457099e+04,-2.138636091988128385e+01,-3.677466196518935959e+01
4.500000000000000000e+01,2.998373621791088226e+04,4.175571139061498980e+04,-2.102117841766916584e+01,-3.649869308389139633e+01
5.000000000000000000e+01,2.925515143844365957e+04,3.926864647165517090e+04,-2.060329875848136894e+01,-3.593931781128971181e+01
5.500000000000000000e+01,2.853965433809305614e+04,3.721162360098473437e+04,-2.036528690226438343e+01,-3.519396349285832315e+01
6.000000000000000000e+01,2.795684811843438001e+04,3.549672015972516965e+04,-1.996453823070968880e+01,-3.433140481703453162e+01
6.500000000000000000e+01,2.743891138319595120e+04,3.405585177131729870e+04,-1.969647673819559941e+01,-3.340021538555832592e+01
7.000000000000000000e+01,2.700482403581025574e+04,3.283616757452740421e+04,-1.935277674372943579e+01,-3.243464397520347120e+01
7.500000000000000000e+01,2.660890387151225150e+04,3.179641421379214444e+04,-1.914375559143051930e+01,-3.145871990525806083e+01
8.000000000000000000e+01,2.625329697858816144e+04,3.090416550880095383e+04,-1.886181933860008542e+01,-3.048914470831953238e+01
8.500000000000000000e+01,2.593528563045549527e+04,3.013374044908781434e+04,-1.868518576370669493e+01,-2.953734666236789863e+01
9.000000000000000000e+01,2.564402413532347055e+04,2.946464352463915930e+04,-1.845990216941968853e+01,-2.861095216782325679e+01
9.500000000000000000e+01,2.535190324401749604e+04,2.888039385509559725e+04,-1.828213853050641191e+01,-2.771484660188234628e+01
1.000000000000000000e+02,2.511639172409910316e+04,2.836764185661487136e+04,-1.799880693514340280e+01,-2.685194332788899274e+01
1.500000000000000000e+02,2.343463134704129334e+04,2.549555618026808224e+04,-1.736180548510764510e+01,-2.005933281048658401e+01
2.000000000000000000e+02,2.241694715815741074e+04,2.437923131338643725e+04,-1.689858230464052369e+01,-1.578802492797189316e+01
2.500000000000000000e+02,2.169666910684534741e+04,2.383900330844960263e+04,-1.714545623611917691e+01,-1.297324464783291731e+01
3.000000000000000000e+02,2.105480108021334308e+04,2.353873678251716774e+04,-1.740295140963186782e+01,-1.101101276244718008e+01
3.500000000000000000e+02,2.051499724789506945e+04,2.335524048158959340e+04,-1.778697159139719020e+01,-9.577942039364078397e+00
4.000000000000000000e+02,2.012462483068808433e+04,2.323511207669286887e+04,-1.814496592150758403e+01,-8.492172212607666637e+00
4.500000000000000000e+02,1.971709746170567450e+04,2.315225479349786110e+04,-1.878676765064517440e+01,-7.645312963427079112e+00
5.000000000000000000e+02,1.930129462136562870e+04,2.309271742339108823e+04,-1.919504685974150249e+01,-6.969296988181571173e+00
5.500000000000000000e+02,1.900227404017941080e+04,2.304850268312106346e+04,-1.969366639720518108e+01,-6.419430411223114419e+00
6.000000000000000000e+02,1.868966545480545028e+04,2.301476327452146870e+04,-2.022669112543060876e+01,-5.965239707585339168e+00
6.500000000000000000e+02,1.835565537804733685e+04,2.298842404452601841e+04,-2.078967729495765937e+01,-5.585272430123361609e+00
7.000000000000000000e+02,1.805013589379337645e+04,2.296745855338771798e+04,-2.113741350615783787e+01,-5.264008653936235405e+00
7.500000000000000000e+02,1.780940144923817570e+04,2.295048782574421784e+04,-2.157109907175477659e+01,-4.989953075037752761e+00
8.000000000000000000e+02,1.756561709623571369e+04,2.293654728326885379e+04,-2.197289295087349714e+01,-4.754415485032457589e+00
8.500000000000000000e+02,1.735817202490034833e+04,2.292494592382951305e+04,-2.251433404709644392e+01,-4.550707567985599056e+00
9.000000000000000000e+02,1.707866439377061033e+04,2.291517828955750520e+04,-2.292204946483549932e+01,-4.373599761970240252e+00
9.500000000000000000e+02,1.689903243185164683e+04,2.290686777522810371e+04,-2.338414147231228313e+01,-4.218945301412190041e+00
1.000000000000000000e+03,1.662967515876887774e+04,2.289972915168909822e+04,-2.378569114790210293e+01,-4.083414509894874200e+00
1.500000000000000000e+03,1.485420833757368382e+04,2.286134670845151413e+04,-2.739050096133484402e+01,-3.361997580027585641e+00
2.000000000000000000e+03,1.352658861934774723e+04,2.284503911389150380e+04,-2.974986516648866441e+01,-3.190529599641628522e+00
2.500000000000000000e+03,1.245550256468834414e+04,2.283435587482855044e+04,-3.184918177844341969e+01,-3.239829019684681732e+00
3.000000000000000000e+03,1.160717453624335030e+04,2.282523192239655327e+04,-3.319315595780591366e+01,-3.399583380516478126e+00
3.500000000000000000e+03,1.091288300945737683e+04,2.281627514953334321e+04,-3.454463391214738976e+01,-3.622390677216571042e+00
4.000000000000000000e+03,1.029215127662636951e+04,2.280690576967749803e+04,-3.547535217333378910e+01,-3.884503647794760983e+00
4.500000000000000000e+03,9.787691118781829573e+03,2.279684876666197670e+04,-3.636329728382125381e+01,-4.172703690474904192e+00
5.000000000000000000e+03,9.331588965246339285e+03,2.278596136458204637e+04,-3.705094030909241098e+01,-4.479041327662377725e+00
5.500000000000000000e+03,8.930485445236132364e+03,2.277416469607689942e+04,-3.771586919908757807e+01,-4.798442939886557568e+00
6.000000000000000000e+03,8.572213604828200914e+03,2.276141349221769269e+04,-3.818891930636921472e+01,-5.127513279809233993e+00
6.500000000000000000e+03,8.254882335699512623e+03,2.274768140364792271e+04,-3.867594068181463030e+01,-5.463890353566883462e+00
7.000000000000000000e+03,7.969006799017653066e+03,2.273295337375495365e+04,-3.906851981353249670e+01,-5.805876652528153770e+00
7.500000000000000000e+03,7.693309115329938322e+03,2.271722144007013412e+04,-3.942809578358205158e+01,-6.152217837583362048e+00
8.000000000000000000e+03,7.463246940593188810e+03,2.270048230787553621e+04,-3.965157026039486254e+01,-6.501964393509103601e+00
8.500000000000000000e+03,7.245422723904905070e+03,2.268273588837172792e+04,-3.997469886809528816e+01,-6.854382102028776735e+00
9.000000000000000000e+03,7.038201949936335041e+03,2.266398438534644083e+04,-4.018382880374013411e+01,-7.208892354642751243e+00
9.500000000000000000e+03,6.850250523259164765e+03,2.264423170574526375e+04,-4.037726590929378290e+01,-7.565031314673976048e+00
1.000000000000000000e+04,6.683540573544045401e+03,2.262348306789611888e+04,-4.050404768311756243e+01,-7.922421332848547770e+00
1.250000000000000000e+04,5.959633101131195872e+03,2.250504704226196191e+04,-4.152142571000759119e+01,-9.718792237815753410e+00
1.500000000000000000e+04,5.414640070216476488e+03,2.236293898962027379e+04,-4.182681446732790675e+01,-1.151506876918176125e+01
1.750000000000000000e+04,4.993266732464091547e+03,2.219848700003611884e+04,-4.201702344229903474e+01,-1.329795519781142055e+01
2.000000000000000000e+04,4.653481068982469878e+03,2.201321156293595413e+04,-4.197180523532157537e+01,-1.505923689372403906e+01
2.250000000000000000e+04,4.370666410783484025e+03,2.180876798178155514e+04,-4.182178886641177229e+01,-1.679316643147992494e+01
2.500000000000000000e+04,4.159065747363322771e+03,2.158690200443707727e+04,-4.169171713995670814e+01,-1.849542445370097354e+01
2.750000000000000000e+04,3.949974629727629690e+03,2.134941085085642044e+04,-4.170457906147050409e+01,-2.016264744123132502e+01
3.000000000000000000e+04,3.772725163886466817e+03,2.109810818480216039e+04,-4.149191757133872471e+01,-2.179218701557630666e+01
3.250000000000000000e+04,3.621616713784825606e+03,2.083479305090826892e+04,-4.131870295376864277e+01,-2.338197249428586133e+01
3.500000000000000000e+04,3.480597176570470310e+03,2.056122305826593220e+04,-4.106831111419354841e+01,-2.493042246535808104e+01
3.750000000000000000e+04,3.364360858794681008e+03,2.027909200848004184e+04,-4.083592817692275645e+01,-2.643638078025294647e+01
4.000000000000000000e+04,3.252341851668041272e+03,1.999001199372122210e+04,-4.060734638194904278e+01,-2.789906529777081445e+01
4.250000000000000000e+04,3.154611183044605696e+03,1.969549981550719895e+04,-4.036428823539095845e+01,-2.931802373504305592e+01
4.500000000000000000e+04,3.064066757689355654e+03,1.939696742989995982e+04,-4.011721913076581814e+01,-3.069309391644415541e+01
4.750000000000000000e+04,2.979525601480298519e+03,1.909571601998658662e+04,-3.983664580597584859e+01,-3.202436717406373390e+01
5.000000000000000000e+04,2.908295038234096864e+03,1.879293323243406485e+04,-3.956328593488809275e+01,-3.331215437993230921e+01
5.250000000000000000e+04,2.836539858988875494e+03,1.848969308716244996e+04,-3.933244027715436886e+01,-3.455695443598975913e+01
5.500000000000000000e+04,2.772626452864338262e+03,1.818695807110263922e+04,-3.907194021283594054e+01,-3.575942519387377416e+01
5.750000000000000000e+04,2.709491035302272394e+03,1.788558295126697703e+04,-3.879158290200327741e+01,-3.692035681911045941e+01
6.000000000000000000e+04,2.655916193348757133e+03,1.758631988194333462e+04,-3.846727383329110239e+01,-3.804064760572730819e+01
6.250000000000000000e+04,2.607028347180623769e+03,1.728982442957074090e+04,-3.823152249518303591e+01,-3.912128221671532202e+01
6.500000000000000000e+04,2.554819950536864326e+03,1.699666219173688660e+04,-3.798643731240331078e+01,-4.016331228904624595e+01
6.750000000000000000e+04,2.510841983140969205e+03,1.670731573990281686e+04,-3.768213471087191380e+01,-4.116783930744617237e+01
7.000000000000000000e+04,2.469188747804505510e+03,1.642219166616462826e+04,-3.744279407938162763e+01,-4.213599962278934896e+01
7.250000000000000000e+04,2.426440616973642591e+03,1.614162756081747648e+04,-3.717641476796685396e+01,-4.306895147020398440e+01
7.500000000000000000e+04,2.389857714900226711e+03,1.586589878868432243e+04,-3.687887614325177310e+01,-4.396786382874800125e+01
7.750000000000000000e+04,2.354608234264115254e+03,1.559522496769765348e+04,-3.661760477816626036e+01,-4.483390695803814907e+01
8.000000000000000000e+04,2.320996166812311458e+03,1.532977608309539391e+04,-3.635365130698191649e+01,-4.566824444639136260e+01
8.250000000000000000e+04,2.290180286362211518e+03,1.506967819511999369e+04,-3.609293962219521035e+01,-4.647202660866718560e+01
8.500000000000000000e+04,2.261303371341632555e+03,1.481501871777737870e+04,-3.587985879975484238e+01,-4.724638507894657380e+01
8.750000000000000000e+04,2.229326028905636122e+03,1.456585126159631000e+04,-3.564519752665000851e+01,-4.799242845243536948e+01
9.000000000000000000e+04,2.203588465468435970e+03,1.432220004503146629e+04,-3.536968217789701185e+01,-4.871123884168940066e+01
9.250000000000000000e+04,2.177113422155721310e+03,1.408406388776566018e+04,-3.513043282926626176e+01,-4.940386922373616585e+01
9.500000000000000000e+04,2.152821118945270428e+03,1.385141980523583152e+04,-3.489601486341983616e+01,-5.007134146638036043e+01
9.750000000000000000e+04,2.127583683072430631e+03,1.362422622772580507e+04,-3.464494201157232567e+01,-5.071464493352782910e+01
1.000000000000000000e+05,2.105568253260319125e+03,1.340242586976608254e+04,-3.435172378994543152e+01,-5.133473558045965035e+01
1.250000000000000000e+05,1.925379653012942526e+03,1.146150761262977903e+04,-3.240147883659297889e+01,-5.644521690586535811e+01
1.500000000000000000e+05,1.796955823162994875e+03,9.948257926661968668e+03,-3.144307343979462743e+01,-6.004744841067699213e+01
1.750000000000000000e+05,1.704479849640185193e+03,8.757600957863596705e+03,-2.891271012016359521e+01,-6.262701703770295580e+01
2.000000000000000000e+05,1.631583146219882565e+03,7.806355104567282069e+03,-2.761773718090272922e+01,-6.449459867388760870e+01
2.250000000000000000e+05,1.573334128280075220e+03,7.033894656037861751e+03,-2.628046047309146260e+01,-6.585229135086763108e+01
2.500000000000000000e+05,1.525192546445511198e+03,6.396836254228223879e+03,-2.526225121329866141e+01,-6.683503943031969641e+01
2.750000000000000000e+05,1.484969174897212952e+03,5.864007209385373244e+03,-2.417204113902566576e+01,-6.753548487910548204e+01
3.000000000000000000e+05,1.452436266546637853e+03,5.412725954787008959e+03,-2.337198918004751391e+01,-6.801894002926933069e+01
3.250000000000000000e+05,1.421418163066747638e+03,5.026232335816072919e+03,-2.252260482907187011e+01,-6.833258700863467539e+01
3.500000000000000000e+05,1.395484842158379706e+03,4.691942237640438179e+03,-2.179692342522001525e+01,-6.851127025613197929e+01
