S8f, S8Zc,S8Z, S8Pc,S8P
3.00E+00,1.02E+05,8.98E+04,-1.66E+01,-6.53E+00
4.00E+00,9.45E+04,8.91E+04,-1.82E+01,-8.64E+00
5.00E+00,8.97E+04,8.82E+04,-1.99E+01,-1.07E+01
6.00E+00,8.48E+04,8.71E+04,-2.11E+01,-1.27E+01
7.00E+00,8.11E+04,8.58E+04,-2.21E+01,-1.46E+01
8.00E+00,7.77E+04,8.45E+04,-2.28E+01,-1.64E+01
9.00E+00,7.48E+04,8.30E+04,-2.34E+01,-1.82E+01
1.00E+01,7.23E+04,8.15E+04,-2.38E+01,-1.98E+01
1.50E+01,6.30E+04,7.33E+04,-2.58E+01,-2.66E+01
2.00E+01,5.70E+04,6.55E+04,-2.62E+01,-3.13E+01
2.50E+01,5.28E+04,5.87E+04,-2.66E+01,-3.42E+01
3.00E+01,4.96E+04,5.31E+04,-2.66E+01,-3.59E+01
3.50E+01,4.71E+04,4.85E+04,-2.66E+01,-3.66E+01
4.00E+01,4.50E+04,4.48E+04,-2.64E+01,-3.68E+01
4.50E+01,4.33E+04,4.18E+04,-2.64E+01,-3.65E+01
5.00E+01,4.19E+04,3.93E+04,-2.62E+01,-3.59E+01
5.50E+01,4.06E+04,3.72E+04,-2.62E+01,-3.52E+01
6.00E+01,3.95E+04,3.55E+04,-2.60E+01,-3.43E+01
6.50E+01,3.85E+04,3.41E+04,-2.59E+01,-3.34E+01
7.00E+01,3.76E+04,3.28E+04,-2.56E+01,-3.24E+01
7.50E+01,3.69E+04,3.18E+04,-2.55E+01,-3.15E+01
8.00E+01,3.62E+04,3.09E+04,-2.53E+01,-3.05E+01
8.50E+01,3.56E+04,3.01E+04,-2.53E+01,-2.95E+01
9.00E+01,3.49E+04,2.95E+04,-2.51E+01,-2.86E+01
9.50E+01,3.44E+04,2.89E+04,-2.50E+01,-2.77E+01
1.00E+02,3.39E+04,2.84E+04,-2.47E+01,-2.69E+01
1.50E+02,3.03E+04,2.55E+04,-2.42E+01,-2.01E+01
2.00E+02,2.81E+04,2.44E+04,-2.33E+01,-1.58E+01
2.50E+02,2.66E+04,2.38E+04,-2.30E+01,-1.30E+01
3.00E+02,2.56E+04,2.35E+04,-2.27E+01,-1.10E+01
