S4f, S4Zc,S4Z, S4Pc,S4P
3.00E+00,5.07E+04,8.98E+04,-1.69E+01,-6.53E+00
4.00E+00,4.66E+04,8.91E+04,-1.86E+01,-8.64E+00
5.00E+00,4.39E+04,8.82E+04,-2.00E+01,-1.07E+01
6.00E+00,4.15E+04,8.71E+04,-2.09E+01,-1.27E+01
7.00E+00,3.94E+04,8.58E+04,-2.17E+01,-1.46E+01
8.00E+00,3.77E+04,8.45E+04,-2.21E+01,-1.64E+01
9.00E+00,3.61E+04,8.30E+04,-2.24E+01,-1.82E+01
1.00E+01,3.49E+04,8.15E+04,-2.23E+01,-1.98E+01
1.50E+01,3.04E+04,7.33E+04,-2.24E+01,-2.66E+01
2.00E+01,2.79E+04,6.55E+04,-2.13E+01,-3.13E+01
2.50E+01,2.62E+04,5.87E+04,-2.05E+01,-3.42E+01
3.00E+01,2.50E+04,5.31E+04,-1.95E+01,-3.59E+01
3.50E+01,2.41E+04,4.85E+04,-1.88E+01,-3.66E+01
4.00E+01,2.33E+04,4.48E+04,-1.80E+01,-3.68E+01
4.50E+01,2.28E+04,4.18E+04,-1.73E+01,-3.65E+01
5.00E+01,2.23E+04,3.93E+04,-1.67E+01,-3.59E+01
5.50E+01,2.20E+04,3.72E+04,-1.62E+01,-3.52E+01
6.00E+01,2.16E+04,3.55E+04,-1.57E+01,-3.43E+01
6.50E+01,2.13E+04,3.41E+04,-1.53E+01,-3.34E+01
7.00E+01,2.11E+04,3.28E+04,-1.49E+01,-3.24E+01
7.50E+01,2.09E+04,3.18E+04,-1.46E+01,-3.15E+01
8.00E+01,2.07E+04,3.09E+04,-1.43E+01,-3.05E+01
8.50E+01,2.05E+04,3.01E+04,-1.40E+01,-2.95E+01
9.00E+01,2.04E+04,2.95E+04,-1.37E+01,-2.86E+01
9.50E+01,2.02E+04,2.89E+04,-1.35E+01,-2.77E+01
1.00E+02,2.01E+04,2.84E+04,-1.33E+01,-2.69E+01
1.50E+02,1.93E+04,2.55E+04,-1.23E+01,-2.01E+01
2.00E+02,1.88E+04,2.44E+04,-1.19E+01,-1.58E+01
2.50E+02,1.84E+04,2.38E+04,-1.21E+01,-1.30E+01
3.00E+02,1.81E+04,2.35E+04,-1.24E+01,-1.10E+01
3.50E+02,1.78E+04,2.34E+04,-1.29E+01,-9.58E+00
4.00E+02,1.76E+04,2.32E+04,-1.34E+01,-8.49E+00
4.50E+02,1.74E+04,2.32E+04,-1.41E+01,-7.65E+00
5.00E+02,1.71E+04,2.31E+04,-1.45E+01,-6.97E+00
5.50E+02,1.69E+04,2.30E+04,-1.51E+01,-6.42E+00
6.00E+02,1.67E+04,2.30E+04,-1.56E+01,-5.97E+00
6.50E+02,1.65E+04,2.30E+04,-1.61E+01,-5.59E+00
7.00E+02,1.63E+04,2.30E+04,-1.65E+01,-5.26E+00
7.50E+02,1.61E+04,2.30E+04,-1.71E+01,-4.99E+00
8.00E+02,1.60E+04,2.29E+04,-1.76E+01,-4.75E+00
8.50E+02,1.58E+04,2.29E+04,-1.81E+01,-4.55E+00
9.00E+02,1.56E+04,2.29E+04,-1.84E+01,-4.37E+00
9.50E+02,1.55E+04,2.29E+04,-1.89E+01,-4.22E+00
1.00E+03,1.53E+04,2.29E+04,-1.93E+01,-4.08E+00
1.50E+03,1.40E+04,2.29E+04,-2.34E+01,-3.36E+00
2.00E+03,1.29E+04,2.28E+04,-2.62E+01,-3.19E+00
2.50E+03,1.21E+04,2.28E+04,-2.88E+01,-3.24E+00
3.00E+03,1.13E+04,2.28E+04,-3.07E+01,-3.40E+00
3.50E+03,1.07E+04,2.28E+04,-3.25E+01,-3.62E+00
4.00E+03,1.02E+04,2.28E+04,-3.38E+01,-3.88E+00
4.50E+03,9.67E+03,2.28E+04,-3.51E+01,-4.17E+00
5.00E+03,9.25E+03,2.28E+04,-3.61E+01,-4.48E+00
5.50E+03,8.85E+03,2.28E+04,-3.71E+01,-4.80E+00
6.00E+03,8.51E+03,2.28E+04,-3.79E+01,-5.13E+00
6.50E+03,8.19E+03,2.27E+04,-3.87E+01,-5.46E+00
7.00E+03,7.91E+03,2.27E+04,-3.93E+01,-5.81E+00
7.50E+03,7.65E+03,2.27E+04,-3.99E+01,-6.15E+00
8.00E+03,7.40E+03,2.27E+04,-4.04E+01,-6.50E+00
8.50E+03,7.18E+03,2.27E+04,-4.09E+01,-6.85E+00
9.00E+03,6.97E+03,2.27E+04,-4.13E+01,-7.21E+00
9.50E+03,6.78E+03,2.26E+04,-4.17E+01,-7.57E+00
1.00E+04,6.60E+03,2.26E+04,-4.20E+01,-7.92E+00
1.25E+04,5.85E+03,2.25E+04,-4.37E+01,-9.72E+00
1.50E+04,5.29E+03,2.24E+04,-4.46E+01,-1.15E+01
1.75E+04,4.85E+03,2.22E+04,-4.53E+01,-1.33E+01
2.00E+04,4.49E+03,2.20E+04,-4.56E+01,-1.51E+01
2.25E+04,4.20E+03,2.18E+04,-4.59E+01,-1.68E+01
2.50E+04,3.96E+03,2.16E+04,-4.62E+01,-1.85E+01
2.75E+04,3.73E+03,2.13E+04,-4.64E+01,-2.02E+01
3.00E+04,3.55E+03,2.11E+04,-4.63E+01,-2.18E+01
3.25E+04,3.38E+03,2.08E+04,-4.63E+01,-2.34E+01
3.50E+04,3.24E+03,2.06E+04,-4.63E+01,-2.49E+01
3.75E+04,3.11E+03,2.03E+04,-4.62E+01,-2.64E+01
4.00E+04,3.00E+03,2.00E+04,-4.61E+01,-2.79E+01
4.25E+04,2.89E+03,1.97E+04,-4.60E+01,-2.93E+01
4.50E+04,2.79E+03,1.94E+04,-4.57E+01,-3.07E+01
4.75E+04,2.71E+03,1.91E+04,-4.55E+01,-3.20E+01
5.00E+04,2.63E+03,1.88E+04,-4.54E+01,-3.33E+01
5.25E+04,2.55E+03,1.85E+04,-4.53E+01,-3.46E+01
5.50E+04,2.49E+03,1.82E+04,-4.51E+01,-3.58E+01
5.75E+04,2.42E+03,1.79E+04,-4.48E+01,-3.69E+01
6.00E+04,2.36E+03,1.76E+04,-4.46E+01,-3.80E+01
6.25E+04,2.31E+03,1.73E+04,-4.44E+01,-3.91E+01
6.50E+04,2.26E+03,1.70E+04,-4.41E+01,-4.02E+01
6.75E+04,2.21E+03,1.67E+04,-4.38E+01,-4.12E+01
7.00E+04,2.16E+03,1.64E+04,-4.36E+01,-4.21E+01
7.25E+04,2.12E+03,1.61E+04,-4.33E+01,-4.31E+01
7.50E+04,2.08E+03,1.59E+04,-4.31E+01,-4.40E+01
7.75E+04,2.05E+03,1.56E+04,-4.28E+01,-4.48E+01
8.00E+04,2.01E+03,1.53E+04,-4.26E+01,-4.57E+01
8.25E+04,1.98E+03,1.51E+04,-4.24E+01,-4.65E+01
8.50E+04,1.95E+03,1.48E+04,-4.21E+01,-4.72E+01
8.75E+04,1.92E+03,1.46E+04,-4.19E+01,-4.80E+01
9.00E+04,1.89E+03,1.43E+04,-4.16E+01,-4.87E+01
9.25E+04,1.86E+03,1.41E+04,-4.13E+01,-4.94E+01
9.50E+04,1.84E+03,1.39E+04,-4.11E+01,-5.01E+01
9.75E+04,1.81E+03,1.36E+04,-4.08E+01,-5.07E+01
1.00E+05,1.79E+03,1.34E+04,-4.05E+01,-5.13E+01
