S8f, S8Zc,S8Z, S8Pc,S8P
1.000000000000000000e+00,1.725944461369534547e+05,9.070840360881028755e+04,-1.780774282853210622e+01,-2.198257524589750656e+00
2.000000000000000000e+00,1.417383399883966194e+05,9.037628623763979704e+04,-2.402873194614775798e+01,-4.381429585466160681e+00
3.000000000000000000e+00,1.259936976402544387e+05,8.983149051896887249e+04,-2.139691653226140033e+01,-6.534905107360954091e+00
4.000000000000000000e+00,1.141125090164454450e+05,8.908653305839483801e+04,-2.337988462291929537e+01,-8.644985611736057507e+00
5.000000000000000000e+00,1.059282862915348378e+05,8.815784358627820620e+04,-2.531424905955511662e+01,-1.069925610442036401e+01
6.000000000000000000e+00,9.821911556581438344e+04,8.706482715977956832e+04,-2.627863845236590734e+01,-1.268686648152501739e+01
7.000000000000000000e+00,9.322586607478551741e+04,8.582884765257274557e+04,-2.718988978033918613e+01,-1.459871235375803522e+01
8.000000000000000000e+00,8.845067320978597854e+04,8.447222618496223004e+04,-2.790301607178287213e+01,-1.642751525825652692e+01
9.000000000000000000e+00,8.437582815016210952e+04,8.301733121168900107e+04,-2.846917437696317066e+01,-1.816781154726513137e+01
1.000000000000000000e+01,8.112277378687604505e+04,8.148581304352916777e+04,-2.874750415432701089e+01,-1.981586572533577595e+01
1.500000000000000000e+01,6.878940647329126659e+04,7.332585224237316288e+04,-3.072339503328629817e+01,-2.664221432394795386e+01
2.000000000000000000e+01,6.105409706023159379e+04,6.548261236919544899e+04,-3.095560453458561412e+01,-3.129119565138020675e+01
2.500000000000000000e+01,5.588938316362108890e+04,5.869493421336902975e+04,-3.127232351642756925e+01,-3.421119411143483546e+01
3.000000000000000000e+01,5.188337331281122897e+04,5.307726723456093168e+04,-3.107988031645217930e+01,-3.586610289373535210e+01
3.500000000000000000e+01,4.883042587262098095e+04,4.850225038158843381e+04,-3.099098300066879474e+01,-3.662904749526448001e+01
4.000000000000000000e+01,4.641492402882474562e+04,4.478591407094457099e+04,-3.066028169806455494e+01,-3.677466196518935959e+01
