S8f, S8Zc,S8Z, S8Pc,S8P
3.00E+00,1.26E+05,8.98E+04,-2.14E+01,-6.53E+00
4.00E+00,1.14E+05,8.91E+04,-2.34E+01,-8.64E+00
5.00E+00,1.06E+05,8.82E+04,-2.53E+01,-1.07E+01
6.00E+00,9.82E+04,8.71E+04,-2.63E+01,-1.27E+01
7.00E+00,9.32E+04,8.58E+04,-2.72E+01,-1.46E+01
8.00E+00,8.85E+04,8.45E+04,-2.79E+01,-1.64E+01
9.00E+00,8.44E+04,8.30E+04,-2.85E+01,-1.82E+01
1.00E+01,8.11E+04,8.15E+04,-2.87E+01,-1.98E+01
1.50E+01,6.88E+04,7.33E+04,-3.07E+01,-2.66E+01
2.00E+01,6.11E+04,6.55E+04,-3.10E+01,-3.13E+01
2.50E+01,5.59E+04,5.87E+04,-3.13E+01,-3.42E+01
3.00E+01,5.19E+04,5.31E+04,-3.11E+01,-3.59E+01
3.50E+01,4.88E+04,4.85E+04,-3.10E+01,-3.66E+01
4.00E+01,4.64E+04,4.48E+04,-3.07E+01,-3.68E+01
4.50E+01,4.43E+04,4.18E+04,-3.05E+01,-3.65E+01
5.00E+01,4.27E+04,3.93E+04,-3.02E+01,-3.59E+01
5.50E+01,4.12E+04,3.72E+04,-3.01E+01,-3.52E+01
6.00E+01,3.99E+04,3.55E+04,-2.97E+01,-3.43E+01
6.50E+01,3.88E+04,3.41E+04,-2.95E+01,-3.34E+01
7.00E+01,3.78E+04,3.28E+04,-2.92E+01,-3.24E+01
7.50E+01,3.69E+04,3.18E+04,-2.90E+01,-3.15E+01
8.00E+01,3.61E+04,3.09E+04,-2.87E+01,-3.05E+01
8.50E+01,3.54E+04,3.01E+04,-2.85E+01,-2.95E+01
9.00E+01,3.48E+04,2.95E+04,-2.83E+01,-2.86E+01
9.50E+01,3.42E+04,2.89E+04,-2.81E+01,-2.77E+01
1.00E+02,3.36E+04,2.84E+04,-2.78E+01,-2.69E+01
1.50E+02,2.96E+04,2.55E+04,-2.70E+01,-2.01E+01
2.00E+02,2.73E+04,2.44E+04,-2.59E+01,-1.58E+01
2.50E+02,2.57E+04,2.38E+04,-2.53E+01,-1.30E+01
3.00E+02,2.45E+04,2.35E+04,-2.48E+01,-1.10E+01
3.50E+02,2.36E+04,2.34E+04,-2.45E+01,-9.58E+00
