S1f, S1Zc,S1Z, S1Pc,S1P
7.00E+04,5.06E+03,1.64E+04,-4.28E+01,-4.21E+01
7.25E+04,4.96E+03,1.61E+04,-4.26E+01,-4.31E+01
7.50E+04,4.87E+03,1.59E+04,-4.24E+01,-4.40E+01
7.75E+04,4.79E+03,1.56E+04,-4.22E+01,-4.48E+01
8.00E+04,4.71E+03,1.53E+04,-4.20E+01,-4.57E+01
8.25E+04,4.63E+03,1.51E+04,-4.18E+01,-4.65E+01
8.50E+04,4.56E+03,1.48E+04,-4.16E+01,-4.72E+01
8.75E+04,4.49E+03,1.46E+04,-4.14E+01,-4.80E+01
9.00E+04,4.43E+03,1.43E+04,-4.11E+01,-4.87E+01
9.25E+04,4.36E+03,1.41E+04,-4.08E+01,-4.94E+01
9.50E+04,4.30E+03,1.39E+04,-4.04E+01,-5.01E+01
9.75E+04,4.29E+03,1.36E+04,-4.01E+01,-5.07E+01
1.00E+05,4.23E+03,1.34E+04,-4.02E+01,-5.13E+01
1.25E+05,3.80E+03,1.15E+04,-3.89E+01,-5.64E+01
1.50E+05,3.49E+03,9.95E+03,-3.92E+01,-6.00E+01
1.75E+05,3.27E+03,8.76E+03,-3.63E+01,-6.26E+01
2.00E+05,3.08E+03,7.81E+03,-3.52E+01,-6.45E+01
2.25E+05,2.93E+03,7.03E+03,-3.40E+01,-6.59E+01
2.50E+05,2.81E+03,6.40E+03,-3.32E+01,-6.68E+01
2.75E+05,2.70E+03,5.86E+03,-3.21E+01,-6.75E+01
3.00E+05,2.62E+03,5.41E+03,-3.14E+01,-6.80E+01
3.25E+05,2.54E+03,5.03E+03,-3.05E+01,-6.83E+01
3.50E+05,2.47E+03,4.69E+03,-2.98E+01,-6.85E+01
3.75E+05,2.41E+03,4.40E+03,-2.91E+01,-6.86E+01
4.00E+05,2.36E+03,4.14E+03,-2.85E+01,-6.86E+01
4.25E+05,2.31E+03,3.92E+03,-2.78E+01,-6.85E+01
4.50E+05,2.27E+03,3.71E+03,-2.73E+01,-6.83E+01
4.75E+05,2.23E+03,3.53E+03,-2.67E+01,-6.81E+01
5.00E+05,2.19E+03,3.37E+03,-2.62E+01,-6.79E+01
5.25E+05,2.16E+03,3.22E+03,-2.56E+01,-6.76E+01
5.50E+05,2.13E+03,3.09E+03,-2.52E+01,-6.73E+01
5.75E+05,2.10E+03,2.96E+03,-2.47E+01,-6.69E+01
6.00E+05,2.08E+03,2.85E+03,-2.43E+01,-6.66E+01
6.25E+05,2.05E+03,2.75E+03,-2.38E+01,-6.62E+01
6.50E+05,2.03E+03,2.65E+03,-2.35E+01,-6.58E+01
6.75E+05,2.01E+03,2.57E+03,-2.30E+01,-6.54E+01
7.00E+05,1.99E+03,2.49E+03,-2.25E+01,-6.50E+01
7.25E+05,1.98E+03,2.41E+03,-2.21E+01,-6.45E+01
7.50E+05,1.96E+03,2.34E+03,-2.20E+01,-6.41E+01
7.75E+05,1.95E+03,2.27E+03,-2.17E+01,-6.37E+01
8.00E+05,1.93E+03,2.21E+03,-2.14E+01,-6.32E+01
8.25E+05,1.91E+03,2.16E+03,-2.11E+01,-6.28E+01
8.50E+05,1.90E+03,2.10E+03,-2.09E+01,-6.23E+01
8.75E+05,1.89E+03,2.05E+03,-2.06E+01,-6.18E+01
9.00E+05,1.87E+03,2.00E+03,-2.03E+01,-6.14E+01
9.25E+05,1.86E+03,1.96E+03,-2.00E+01,-6.09E+01
9.50E+05,1.85E+03,1.92E+03,-1.98E+01,-6.04E+01
9.75E+05,1.84E+03,1.88E+03,-1.95E+01,-6.00E+01
1.00E+06,1.83E+03,1.84E+03,-1.92E+01,-5.95E+01
