S7f, S7Zc,S7Z, S7Pc,S7P
3.00E+00,1.33E+05,8.98E+04,-5.42E+00,-6.53E+00
4.00E+00,1.30E+05,8.91E+04,-5.93E+00,-8.64E+00
5.00E+00,1.28E+05,8.82E+04,-6.55E+00,-1.07E+01
6.00E+00,1.27E+05,8.71E+04,-7.05E+00,-1.27E+01
7.00E+00,1.25E+05,8.58E+04,-7.64E+00,-1.46E+01
8.00E+00,1.24E+05,8.45E+04,-8.15E+00,-1.64E+01
9.00E+00,1.22E+05,8.30E+04,-8.63E+00,-1.82E+01
1.00E+01,1.20E+05,8.15E+04,-8.93E+00,-1.98E+01
1.50E+01,1.14E+05,7.33E+04,-1.02E+01,-2.66E+01
2.00E+01,1.10E+05,6.55E+04,-1.07E+01,-3.13E+01
2.50E+01,1.06E+05,5.87E+04,-1.12E+01,-3.42E+01
3.00E+01,1.03E+05,5.31E+04,-1.13E+01,-3.59E+01
3.50E+01,1.01E+05,4.85E+04,-1.16E+01,-3.66E+01
4.00E+01,9.92E+04,4.48E+04,-1.16E+01,-3.68E+01
4.50E+01,9.74E+04,4.18E+04,-1.18E+01,-3.65E+01
5.00E+01,9.62E+04,3.93E+04,-1.19E+01,-3.59E+01
5.50E+01,9.47E+04,3.72E+04,-1.20E+01,-3.52E+01
6.00E+01,9.37E+04,3.55E+04,-1.20E+01,-3.43E+01
6.50E+01,9.25E+04,3.41E+04,-1.21E+01,-3.34E+01
7.00E+01,9.17E+04,3.28E+04,-1.21E+01,-3.24E+01
7.50E+01,9.07E+04,3.18E+04,-1.22E+01,-3.15E+01
8.00E+01,9.00E+04,3.09E+04,-1.22E+01,-3.05E+01
8.50E+01,8.93E+04,3.01E+04,-1.23E+01,-2.95E+01
9.00E+01,8.86E+04,2.95E+04,-1.23E+01,-2.86E+01
9.50E+01,8.80E+04,2.89E+04,-1.24E+01,-2.77E+01
1.00E+02,8.74E+04,2.84E+04,-1.24E+01,-2.69E+01
1.50E+02,8.30E+04,2.55E+04,-1.33E+01,-2.01E+01
2.00E+02,7.97E+04,2.44E+04,-1.40E+01,-1.58E+01
2.50E+02,7.72E+04,2.38E+04,-1.48E+01,-1.30E+01
3.00E+02,7.52E+04,2.35E+04,-1.54E+01,-1.10E+01
3.50E+02,7.34E+04,2.34E+04,-1.63E+01,-9.58E+00
4.00E+02,7.16E+04,2.32E+04,-1.69E+01,-8.49E+00
4.50E+02,7.02E+04,2.32E+04,-1.76E+01,-7.65E+00
5.00E+02,6.89E+04,2.31E+04,-1.82E+01,-6.97E+00
5.50E+02,6.75E+04,2.30E+04,-1.88E+01,-6.42E+00
6.00E+02,6.64E+04,2.30E+04,-1.93E+01,-5.97E+00
6.50E+02,6.53E+04,2.30E+04,-1.98E+01,-5.59E+00
7.00E+02,6.43E+04,2.30E+04,-2.03E+01,-5.26E+00
7.50E+02,6.32E+04,2.30E+04,-2.08E+01,-4.99E+00
8.00E+02,6.24E+04,2.29E+04,-2.12E+01,-4.75E+00
8.50E+02,6.15E+04,2.29E+04,-2.16E+01,-4.55E+00
9.00E+02,6.07E+04,2.29E+04,-2.20E+01,-4.37E+00
9.50E+02,5.99E+04,2.29E+04,-2.24E+01,-4.22E+00
1.00E+03,5.93E+04,2.29E+04,-2.27E+01,-4.08E+00
1.50E+03,5.30E+04,2.29E+04,-2.64E+01,-3.36E+00
2.00E+03,4.84E+04,2.28E+04,-2.85E+01,-3.19E+00
