S6f, S6Zc,S6Z, S6Pc,S6P
3.000000000000000000e+00,2.814794233669416863e+05,8.983149051896887249e+04,-1.911680559674143609e+01,-6.534905107360954091e+00
4.000000000000000000e+00,2.587690298430318653e+05,8.908653305839483801e+04,-2.057247747156030115e+01,-8.644985611736057507e+00
5.000000000000000000e+00,2.432219356312794553e+05,8.815784358627820620e+04,-2.227708166198170403e+01,-1.069925610442036401e+01
6.000000000000000000e+00,2.280117261577188910e+05,8.706482715977956832e+04,-2.327808587850351785e+01,-1.268686648152501739e+01
7.000000000000000000e+00,2.173571668715533160e+05,8.582884765257274557e+04,-2.417887579526311370e+01,-1.459871235375803522e+01
8.000000000000000000e+00,2.075245245725081186e+05,8.447222618496223004e+04,-2.489500229667748243e+01,-1.642751525825652692e+01
9.000000000000000000e+00,1.984070045020887046e+05,8.301733121168900107e+04,-2.547189989673217880e+01,-1.816781154726513137e+01
1.000000000000000000e+01,1.908517017024775851e+05,8.148581304352916777e+04,-2.559497578104208060e+01,-1.981586572533577595e+01
1.500000000000000000e+01,1.654261572847860807e+05,7.332585224237316288e+04,-2.703229266968219235e+01,-2.664221432394795386e+01
2.000000000000000000e+01,1.489425220466860046e+05,6.548261236919544899e+04,-2.721039786172264741e+01,-3.129119565138020675e+01
2.500000000000000000e+01,1.376453865192651283e+05,5.869493421336902975e+04,-2.744228197424915905e+01,-3.421119411143483546e+01
3.000000000000000000e+01,1.289598461621228780e+05,5.307726723456093168e+04,-2.721642339612352757e+01,-3.586610289373535210e+01
3.500000000000000000e+01,1.220878991390653973e+05,4.850225038158843381e+04,-2.708481482010116181e+01,-3.662904749526448001e+01
4.000000000000000000e+01,1.167356791662880714e+05,4.478591407094457099e+04,-2.666792334158715150e+01,-3.677466196518935959e+01
4.500000000000000000e+01,1.122598294035605941e+05,4.175571139061498980e+04,-2.642874700050867531e+01,-3.649869308389139633e+01
5.000000000000000000e+01,1.087331884123929194e+05,3.926864647165517090e+04,-2.609398358186081168e+01,-3.593931781128971181e+01
5.500000000000000000e+01,1.053579452142504015e+05,3.721162360098473437e+04,-2.595539638470489407e+01,-3.519396349285832315e+01
6.000000000000000000e+01,1.024326677294608962e+05,3.549672015972516965e+04,-2.555540784299858714e+01,-3.433140481703453162e+01
6.500000000000000000e+01,1.001315047084742255e+05,3.405585177131729870e+04,-2.531669311076364437e+01,-3.340021538555832592e+01
7.000000000000000000e+01,9.798071091440423334e+04,3.283616757452740421e+04,-2.504655124648146725e+01,-3.243464397520347120e+01
7.500000000000000000e+01,9.592947869495266059e+04,3.179641421379214444e+04,-2.483951028500689517e+01,-3.145871990525806083e+01
8.000000000000000000e+01,9.430974337399809156e+04,3.090416550880095383e+04,-2.453863098052029201e+01,-3.048914470831953238e+01
8.500000000000000000e+01,9.274383452905027661e+04,3.013374044908781434e+04,-2.442374803320363696e+01,-2.953734666236789863e+01
9.000000000000000000e+01,9.119416621332637442e+04,2.946464352463915930e+04,-2.419985301372465969e+01,-2.861095216782325679e+01
9.500000000000000000e+01,8.966635778751212638e+04,2.888039385509559725e+04,-2.391974007742250663e+01,-2.771484660188234628e+01
1.000000000000000000e+02,8.868116470920380380e+04,2.836764185661487136e+04,-2.354298244205844526e+01,-2.685194332788899274e+01
1.500000000000000000e+02,8.063258384016330820e+04,2.549555618026808224e+04,-2.293134509377746255e+01,-2.005933281048658401e+01
2.000000000000000000e+02,7.568762743794640119e+04,2.437923131338643725e+04,-2.239039220100776006e+01,-1.578802492797189316e+01
2.500000000000000000e+02,7.212275863590862718e+04,2.383900330844960263e+04,-2.251798728738517141e+01,-1.297324464783291731e+01
3.000000000000000000e+02,6.921728523666261754e+04,2.353873678251716774e+04,-2.263040799102496692e+01,-1.101101276244718008e+01
3.500000000000000000e+02,6.689802087866158399e+04,2.335524048158959340e+04,-2.298372435868447283e+01,-9.577942039364078397e+00
4.000000000000000000e+02,6.490443222584207979e+04,2.323511207669286887e+04,-2.332175985503421956e+01,-8.492172212607666637e+00
4.500000000000000000e+02,6.302267922138069116e+04,2.315225479349786110e+04,-2.379112404496922295e+01,-7.645312963427079112e+00
5.000000000000000000e+02,6.139182381881118636e+04,2.309271742339108823e+04,-2.408851465828733751e+01,-6.969296988181571173e+00
5.500000000000000000e+02,5.996460736247564637e+04,2.304850268312106346e+04,-2.449772299003484832e+01,-6.419430411223114419e+00
6.000000000000000000e+02,5.866524493165025342e+04,2.301476327452146870e+04,-2.483379972934838165e+01,-5.965239707585339168e+00
6.500000000000000000e+02,5.748894169748287095e+04,2.298842404452601841e+04,-2.530100301563491882e+01,-5.585272430123361609e+00
7.000000000000000000e+02,5.625403459159303020e+04,2.296745855338771798e+04,-2.565273684550971467e+01,-5.264008653936235405e+00
7.500000000000000000e+02,5.519032326921146159e+04,2.295048782574421784e+04,-2.600610652401443446e+01,-4.989953075037752761e+00
8.000000000000000000e+02,5.421001944216190168e+04,2.293654728326885379e+04,-2.631190938318826866e+01,-4.754415485032457589e+00
8.500000000000000000e+02,5.321739314123079384e+04,2.292494592382951305e+04,-2.663248162211041503e+01,-4.550707567985599056e+00
9.000000000000000000e+02,5.241997826428525150e+04,2.291517828955750520e+04,-2.687196725828303556e+01,-4.373599761970240252e+00
9.500000000000000000e+02,5.160154113295178104e+04,2.290686777522810371e+04,-2.722209729184188731e+01,-4.218945301412190041e+00
1.000000000000000000e+03,5.078943252005136310e+04,2.289972915168909822e+04,-2.744605713051203111e+01,-4.083414509894874200e+00
1.500000000000000000e+03,4.468239895098120905e+04,2.286134670845151413e+04,-3.052268447099691073e+01,-3.361997580027585641e+00
2.000000000000000000e+03,4.033705561012546241e+04,2.284503911389150380e+04,-3.234836142777430013e+01,-3.190529599641628522e+00
2.500000000000000000e+03,3.708534184902635752e+04,2.283435587482855044e+04,-3.414303656886395544e+01,-3.239829019684681732e+00
3.000000000000000000e+03,3.444416845904677029e+04,2.282523192239655327e+04,-3.539213816162758519e+01,-3.399583380516478126e+00
3.500000000000000000e+03,3.224488738323373036e+04,2.281627514953334321e+04,-3.659436333268675412e+01,-3.622390677216571042e+00
4.000000000000000000e+03,3.041610410980834786e+04,2.280690576967749803e+04,-3.741928193865661001e+01,-3.884503647794760983e+00
4.500000000000000000e+03,2.884378207393280900e+04,2.279684876666197670e+04,-3.828707006249459255e+01,-4.172703690474904192e+00
5.000000000000000000e+03,2.745774009532893251e+04,2.278596136458204637e+04,-3.888494786050386409e+01,-4.479041327662377725e+00
5.500000000000000000e+03,2.627586587206024342e+04,2.277416469607689942e+04,-3.951739902765441315e+01,-4.798442939886557568e+00
6.000000000000000000e+03,2.519820589156155620e+04,2.276141349221769269e+04,-4.001367360689498298e+01,-5.127513279809233993e+00
6.500000000000000000e+03,2.421389661203703872e+04,2.274768140364792271e+04,-4.047454403924177058e+01,-5.463890353566883462e+00
7.000000000000000000e+03,2.338841580356941267e+04,2.273295337375495365e+04,-4.081871127105962671e+01,-5.805876652528153770e+00
7.500000000000000000e+03,2.259384373387863525e+04,2.271722144007013412e+04,-4.124494123562978842e+01,-6.152217837583362048e+00
8.000000000000000000e+03,2.189363215191989002e+04,2.270048230787553621e+04,-4.158225703660468042e+01,-6.501964393509103601e+00
8.500000000000000000e+03,2.119060110369600079e+04,2.268273588837172792e+04,-4.192674711141167876e+01,-6.854382102028776735e+00
9.000000000000000000e+03,2.058022544448490589e+04,2.266398438534644083e+04,-4.209607695449124520e+01,-7.208892354642751243e+00
