S1f, S1Zc,S1Z, S1Pc,S1P
1.000000000000000000e+00,2.885965075057963841e+05,9.070840360881028755e+04,-1.667450797257876616e+01,-2.198257524589750656e+00
2.000000000000000000e+00,2.381483189254115860e+05,9.037628623763979704e+04,-2.195281105475677919e+01,-4.381429585466160681e+00
3.000000000000000000e+00,2.129816290567385149e+05,8.983149051896887249e+04,-1.843519365541014210e+01,-6.534905107360954091e+00
4.000000000000000000e+00,1.956436194719536579e+05,8.908653305839483801e+04,-1.974113423372635623e+01,-8.644985611736057507e+00
5.000000000000000000e+00,1.826854517421980272e+05,8.815784358627820620e+04,-2.081545060913694201e+01,-1.069925610442036401e+01
6.000000000000000000e+00,1.736488717533578456e+05,8.706482715977956832e+04,-2.152052859063616452e+01,-1.268686648152501739e+01
7.000000000000000000e+00,1.651404653721085051e+05,8.582884765257274557e+04,-2.237353782340552044e+01,-1.459871235375803522e+01
8.000000000000000000e+00,1.577791055722121964e+05,8.447222618496223004e+04,-2.271342430679545998e+01,-1.642751525825652692e+01
9.000000000000000000e+00,1.515880075613930239e+05,8.301733121168900107e+04,-2.294649924170799693e+01,-1.816781154726513137e+01
1.000000000000000000e+01,1.465324749844271864e+05,8.148581304352916777e+04,-2.283869470084124842e+01,-1.981586572533577595e+01
1.500000000000000000e+01,1.303655418792664859e+05,7.332585224237316288e+04,-2.386194236725569695e+01,-2.664221432394795386e+01
2.000000000000000000e+01,1.188997718797191046e+05,6.548261236919544899e+04,-2.401864868393935737e+01,-3.129119565138020675e+01
2.500000000000000000e+01,1.115493488663653843e+05,5.869493421336902975e+04,-2.428542189733031975e+01,-3.421119411143483546e+01
3.000000000000000000e+01,1.057028525952025957e+05,5.307726723456093168e+04,-2.430091881781006080e+01,-3.586610289373535210e+01
3.500000000000000000e+01,1.009766310566061438e+05,4.850225038158843381e+04,-2.452675676170345653e+01,-3.662904749526448001e+01
4.000000000000000000e+01,9.695770206677404349e+04,4.478591407094457099e+04,-2.446019751581977530e+01,-3.677466196518935959e+01
4.500000000000000000e+01,9.360160699410596862e+04,4.175571139061498980e+04,-2.452190084993951658e+01,-3.649869308389139633e+01
5.000000000000000000e+01,9.078632948055063025e+04,3.926864647165517090e+04,-2.443088865127470299e+01,-3.593931781128971181e+01
5.500000000000000000e+01,8.811200910670578014e+04,3.721162360098473437e+04,-2.442572785248474787e+01,-3.519396349285832315e+01
6.000000000000000000e+01,8.609395832392032025e+04,3.549672015972516965e+04,-2.424157455566336949e+01,-3.433140481703453162e+01
6.500000000000000000e+01,8.421692302540857054e+04,3.405585177131729870e+04,-2.432795067108578024e+01,-3.340021538555832592e+01
7.000000000000000000e+01,8.232326912961911876e+04,3.283616757452740421e+04,-2.424903880254055011e+01,-3.243464397520347120e+01
7.500000000000000000e+01,8.073780861148261465e+04,3.179641421379214444e+04,-2.425293793038526147e+01,-3.145871990525806083e+01
8.000000000000000000e+01,7.914277142333472148e+04,3.090416550880095383e+04,-2.412126408787809950e+01,-3.048914470831953238e+01
8.500000000000000000e+01,7.782953226680441003e+04,3.013374044908781434e+04,-2.405833178227637958e+01,-2.953734666236789863e+01
9.000000000000000000e+01,7.657194415059001767e+04,2.946464352463915930e+04,-2.392354103675320687e+01,-2.861095216782325679e+01
9.500000000000000000e+01,7.538964442908608180e+04,2.888039385509559725e+04,-2.385858181337202311e+01,-2.771484660188234628e+01
1.000000000000000000e+02,7.424175654252881941e+04,2.836764185661487136e+04,-2.359452615547464660e+01,-2.685194332788899274e+01
1.500000000000000000e+02,6.752879449181542441e+04,2.549555618026808224e+04,-2.350381230657919573e+01,-2.005933281048658401e+01
2.000000000000000000e+02,6.313758208682185796e+04,2.437923131338643725e+04,-2.353409856466546302e+01,-1.578802492797189316e+01
2.500000000000000000e+02,5.980230023011087906e+04,2.383900330844960263e+04,-2.405587550895725713e+01,-1.297324464783291731e+01
3.000000000000000000e+02,5.716723596642608027e+04,2.353873678251716774e+04,-2.443122850987267469e+01,-1.101101276244718008e+01
3.500000000000000000e+02,5.496107596588617889e+04,2.335524048158959340e+04,-2.504388121117536059e+01,-9.577942039364078397e+00
4.000000000000000000e+02,5.301476142374141637e+04,2.323511207669286887e+04,-2.549037914141400663e+01,-8.492172212607666637e+00
4.500000000000000000e+02,5.133623923914094485e+04,2.315225479349786110e+04,-2.604543899660280815e+01,-7.645312963427079112e+00
5.000000000000000000e+02,4.983586881932395045e+04,2.309271742339108823e+04,-2.647447522189862212e+01,-6.969296988181571173e+00
5.500000000000000000e+02,4.847026236832961877e+04,2.304850268312106346e+04,-2.699249468117040962e+01,-6.419430411223114419e+00
6.000000000000000000e+02,4.722419690390888718e+04,2.301476327452146870e+04,-2.738204891857747825e+01,-5.965239707585339168e+00
6.500000000000000000e+02,4.608068407535446022e+04,2.298842404452601841e+04,-2.784041539975285673e+01,-5.585272430123361609e+00
7.000000000000000000e+02,4.502863825689694204e+04,2.296745855338771798e+04,-2.818319017962085127e+01,-5.264008653936235405e+00
7.500000000000000000e+02,4.405626264089093456e+04,2.295048782574421784e+04,-2.859841985695793554e+01,-4.989953075037752761e+00
8.000000000000000000e+02,4.312241236163416761e+04,2.293654728326885379e+04,-2.890957420587835713e+01,-4.754415485032457589e+00
8.500000000000000000e+02,4.224942014344020572e+04,2.292494592382951305e+04,-2.923617890215464499e+01,-4.550707567985599056e+00
9.000000000000000000e+02,4.145804198153997277e+04,2.291517828955750520e+04,-2.944964267825351456e+01,-4.373599761970240252e+00
9.500000000000000000e+02,4.074115907978339237e+04,2.290686777522810371e+04,-2.972458303618119402e+01,-4.218945301412190041e+00
1.000000000000000000e+03,4.006450791251419287e+04,2.289972915168909822e+04,-2.991477265397256247e+01,-4.083414509894874200e+00
1.500000000000000000e+03,3.474821551196176006e+04,2.286134670845151413e+04,-3.288409955310246602e+01,-3.361997580027585641e+00
2.000000000000000000e+03,3.110473581353206100e+04,2.284503911389150380e+04,-3.447628873570765506e+01,-3.190529599641628522e+00
2.500000000000000000e+03,2.849065322927868692e+04,2.283435587482855044e+04,-3.615299896874753216e+01,-3.239829019684681732e+00
3.000000000000000000e+03,2.631392215797690005e+04,2.282523192239655327e+04,-3.731877980776790338e+01,-3.399583380516478126e+00
3.500000000000000000e+03,2.456288074839160618e+04,2.281627514953334321e+04,-3.843773234641681569e+01,-3.622390677216571042e+00
4.000000000000000000e+03,2.305798286429533982e+04,2.280690576967749803e+04,-3.915381404003084498e+01,-3.884503647794760983e+00
4.500000000000000000e+03,2.182700676870221287e+04,2.279684876666197670e+04,-3.985727839975523779e+01,-4.172703690474904192e+00
5.000000000000000000e+03,2.077406514175439952e+04,2.278596136458204637e+04,-4.041433484990676561e+01,-4.479041327662377725e+00
5.500000000000000000e+03,1.980066409423574078e+04,2.277416469607689942e+04,-4.099636086168725058e+01,-4.798442939886557568e+00
6.000000000000000000e+03,1.896450296844929835e+04,2.276141349221769269e+04,-4.132332128804388560e+01,-5.127513279809233993e+00
6.500000000000000000e+03,1.825108840352835250e+04,2.274768140364792271e+04,-4.174691181257678352e+01,-5.463890353566883462e+00
7.000000000000000000e+03,1.758623142704357815e+04,2.273295337375495365e+04,-4.212841933551480622e+01,-5.805876652528153770e+00
