S4f, S4Zc,S4Z, S4Pc,S4P
1.000000000000000000e+00,2.878564512197019576e+04,9.070840360881028755e+04,-2.279857282554911890e+01,-2.198257524589750656e+00
2.000000000000000000e+00,2.058998113675227432e+04,9.037628623763979704e+04,-2.344958762035967226e+01,-4.381429585466160681e+00
3.000000000000000000e+00,1.935727966606577684e+04,8.983149051896887249e+04,-1.163842820274795997e+01,-6.534905107360954091e+00
4.000000000000000000e+00,1.838394550635441919e+04,8.908653305839483801e+04,-1.148195533751049524e+01,-8.644985611736057507e+00
5.000000000000000000e+00,1.774282947208870974e+04,8.815784358627820620e+04,-1.147149856965630299e+01,-1.069925610442036401e+01
6.000000000000000000e+00,1.722224204869116875e+04,8.706482715977956832e+04,-1.139513792107982937e+01,-1.268686648152501739e+01
7.000000000000000000e+00,1.679744562148486875e+04,8.582884765257274557e+04,-1.136761680650098860e+01,-1.459871235375803522e+01
8.000000000000000000e+00,1.644505711985676680e+04,8.447222618496223004e+04,-1.123298460243006325e+01,-1.642751525825652692e+01
9.000000000000000000e+00,1.615389227417222719e+04,8.301733121168900107e+04,-1.116691155456895324e+01,-1.816781154726513137e+01
1.000000000000000000e+01,1.588611833190523794e+04,8.148581304352916777e+04,-1.099889357775256116e+01,-1.981586572533577595e+01
1.500000000000000000e+01,1.494780300717150021e+04,7.332585224237316288e+04,-1.060758206879444820e+01,-2.664221432394795386e+01
2.000000000000000000e+01,1.438190803646262248e+04,6.548261236919544899e+04,-9.875137021145954819e+00,-3.129119565138020675e+01
2.500000000000000000e+01,1.400674218405535612e+04,5.869493421336902975e+04,-9.414620141868594416e+00,-3.421119411143483546e+01
3.000000000000000000e+01,1.372067525392143398e+04,5.307726723456093168e+04,-8.879572251021647489e+00,-3.586610289373535210e+01
3.500000000000000000e+01,1.350942363381805080e+04,4.850225038158843381e+04,-8.500764878667544266e+00,-3.662904749526448001e+01
4.000000000000000000e+01,1.335891705862458366e+04,4.478591407094457099e+04,-8.101030291634245373e+00,-3.677466196518935959e+01
4.500000000000000000e+01,1.322741089934650154e+04,4.175571139061498980e+04,-7.892745710609178289e+00,-3.649869308389139633e+01
5.000000000000000000e+01,1.311844243123047272e+04,3.926864647165517090e+04,-7.638343723465982116e+00,-3.593931781128971181e+01
5.500000000000000000e+01,1.301142867873061186e+04,3.721162360098473437e+04,-7.461797315128484875e+00,-3.519396349285832315e+01
6.000000000000000000e+01,1.294915391983442169e+04,3.549672015972516965e+04,-7.247053978861665691e+00,-3.433140481703453162e+01
6.500000000000000000e+01,1.286527959331897910e+04,3.405585177131729870e+04,-7.150066504046359128e+00,-3.340021538555832592e+01
7.000000000000000000e+01,1.281469279809441468e+04,3.283616757452740421e+04,-6.960225909327745875e+00,-3.243464397520347120e+01
7.500000000000000000e+01,1.276957874378857741e+04,3.179641421379214444e+04,-6.914102014714203825e+00,-3.145871990525806083e+01
8.000000000000000000e+01,1.271957572622039334e+04,3.090416550880095383e+04,-6.822274511370178374e+00,-3.048914470831953238e+01
8.500000000000000000e+01,1.267639279544641067e+04,3.013374044908781434e+04,-6.798403072750414111e+00,-2.953734666236789863e+01
9.000000000000000000e+01,1.263098255606171733e+04,2.946464352463915930e+04,-6.709039721760979624e+00,-2.861095216782325679e+01
9.500000000000000000e+01,1.259816320708095373e+04,2.888039385509559725e+04,-6.677423759913561518e+00,-2.771484660188234628e+01
1.000000000000000000e+02,1.256550003582821228e+04,2.836764185661487136e+04,-6.606025140799727247e+00,-2.685194332788899274e+01
1.500000000000000000e+02,1.233927237388974754e+04,2.549555618026808224e+04,-6.858835876213619898e+00,-2.005933281048658401e+01
2.000000000000000000e+02,1.217994698927814716e+04,2.437923131338643725e+04,-7.185625914436720052e+00,-1.578802492797189316e+01
2.500000000000000000e+02,1.204817034308940129e+04,2.383900330844960263e+04,-7.904209585837056018e+00,-1.297324464783291731e+01
3.000000000000000000e+02,1.191454737651859068e+04,2.353873678251716774e+04,-8.517853678854461208e+00,-1.101101276244718008e+01
3.500000000000000000e+02,1.180777719503125627e+04,2.335524048158959340e+04,-9.344924705428301337e+00,-9.577942039364078397e+00
4.000000000000000000e+02,1.168941520635618144e+04,2.323511207669286887e+04,-1.003881838572738516e+01,-8.492172212607666637e+00
4.500000000000000000e+02,1.157610244849430455e+04,2.315225479349786110e+04,-1.083813625567058025e+01,-7.645312963427079112e+00
5.000000000000000000e+02,1.147722997115908220e+04,2.309271742339108823e+04,-1.152042669741916647e+01,-6.969296988181571173e+00
5.500000000000000000e+02,1.136219655710601182e+04,2.304850268312106346e+04,-1.233559698636670099e+01,-6.419430411223114419e+00
6.000000000000000000e+02,1.124948279439631733e+04,2.301476327452146870e+04,-1.297415047565480961e+01,-5.965239707585339168e+00
6.500000000000000000e+02,1.114208317908832578e+04,2.298842404452601841e+04,-1.369313670418163653e+01,-5.585272430123361609e+00
7.000000000000000000e+02,1.103741416069100160e+04,2.296745855338771798e+04,-1.429325672170491757e+01,-5.264008653936235405e+00
