f,ZN4L,PN4l,Perror,Zerror
3,22201.203259417,-21.1264358719921,5.86095827425492,36.5723585313092
4,20811.0268992584,-21.146237147785,5.33864525108098,33.794367753667
5,19783.1627830096,-21.0592955604634,4.96969465293988,29.7222456586561
6,18957.9103761365,-20.9575389092883,5.58031109519433,27.9495552156284
7,18337.4449083229,-20.8069054257509,5.65752160952364,26.9473297975957
8,17811.8048292609,-20.6581794416928,5.11910408855944,26.4213962178922
9,17352.3799553229,-20.5051550208431,4.91217894904059,25.384616773451
10,16965.2703741332,-20.2997347279707,5.10024511871301,25.1221742368083
15,15578.0383683415,-19.4491830527131,5.63638596580886,20.8192963259105
20,14693.7046627035,-18.6523902475612,5.40166473277567,20.6536009403133
25,14072.5493387535,-17.9140141414578,5.48976109556776,19.6160062937843
30,13605.2599982531,-17.239039681005,5.1837303979759,19.369058502047
35,13243.2828931222,-16.629410583262,4.85742771119271,18.2171855586463
40,12950.8463623444,-16.0866827541441,5.02551218765731,18.5661817280178
45,12711.1830779052,-15.6030431856399,4.80823125714877,17.9647210630016
50,12510.99902665,-15.1787214057815,4.88369494193495,17.6478725326704
55,12341.246723287,-14.8297177238711,5.19596388975041,17.058434765748
60,12194.2617159239,-14.515929505905,4.87328982900116,17.3321970520834
65,12066.4631994268,-14.2402487264713,4.69452556283233,17.1362788202928
70,11953.2413428895,-13.9960991431109,4.62837925730146,17.1197640043179
75,11851.7417915506,-13.7780388166861,4.65536459749689,16.533839445475
80,11762.6849805306,-13.5917210282811,4.78364405288339,16.8611541063312
85,11680.731118107,-13.4249183628933,4.97170179019668,16.5730494797127
90,11606.9590676588,-13.2855108852082,4.36771651130712,16.4503337816047
95,11538.9421608567,-13.1633100020507,4.67063751029946,16.4343922745392
100,11476.6589892043,-13.0596669117228,4.1532905147107,17.3026381683169
150,11034.68092726,-12.6704350708591,3.93922515861941,14.7622008273489
200,10749.6823592695,-12.9397813695951,4.18321531967625,14.9908357350846
250,10527.9420682706,-13.496831649034,4.06482164791134,14.0539031556322
300,10338.3606470405,-14.1855454651803,3.65977411659369,13.996962401298
350,10163.3252612896,-14.9386104916742,3.47647302635666,12.9771807943897
400,10003.8043191074,-15.7023289002182,3.33677377585083,12.7517956918506
450,9853.30005232145,-16.4667312964127,3.28113475287174,11.3363803830293
500,9709.16382592311,-17.2195583870684,3.18424770110124,11.1475471316964
550,9570.59917863927,-17.9572677382771,3.14086059846894,10.3427078403372
600,9437.43950957926,-18.6739599360527,3.04573617968625,10.5706553018876
650,9309.10255851595,-19.3648231381155,2.99816826339103,10.1463520947329
700,9185.78093253213,-20.0275836220925,2.89339506879431,9.62464398334194
750,9066.0720117632,-20.6693491710725,2.9348102620184,9.52787218781281
800,8949.51539260092,-21.2899089399144,2.7880324425969,9.34672358407176
850,8838.1986583263,-21.8808365083333,2.80824937208755,8.59581628708277
900,8728.12722742479,-22.4580469690489,2.72827401824036,8.71868765680038
950,8623.30848411528,-23.0064564372967,2.70555651053245,8.28661485741033
1000,8519.82457478798,-23.5406769009769,2.69752707664991,8.24392989691962
1500,7637.10412264762,-27.9598605922202,2.31899578431073,6.29423950958413
2000,6950.09583582118,-31.1877745278813,2.1596225342329,6.05293117722686
2500,6399.43694756293,-33.6537753377269,1.86636650289081,4.91408562971232
3000,5946.81948947862,-35.605112161577,1.79624570188497,4.78895320941316
3500,5567.55953732126,-37.1829306705375,1.75228547925319,3.98820276883791
4000,5243.79940528199,-38.4929208563329,1.78876799115368,4.13821767976038
