f,ZN4L,PN4l,Perror,Zerror
3,16295.2259024816,-11.463856439209,9.17585255601688,36.8449872135739
4,15674.3765723262,-11.7821822375533,8.76830134828259,36.6840552149774
5,15214.130651582,-11.9174359414674,8.63756649444436,36.143982334987
6,14853.9993350513,-11.9640735783051,8.4421663604913,36.3929020480154
7,14562.5502087453,-11.9743201168648,7.98314987471862,36.1967950962018
8,14320.8285333774,-11.9572357111148,7.82656206493266,36.6910531590228
9,14114.7375957878,-11.927407296009,7.89768558021532,36.7004092957712
10,13932.739446716,-11.8914360413653,7.41232153709335,37.0975887690923
15,13279.2254191994,-11.6778241404854,6.62105952300617,35.5188097593069
20,12847.5580068091,-11.4827589128049,5.8186778095328,36.4264280437043
25,12523.6056565831,-11.2884225508537,5.77793389879489,35.9520786236585
30,12270.2961255017,-11.1085230822513,4.64777801341302,35.9050708426218
35,12063.2887931001,-10.9401414465611,4.66944630739744,35.3756070290811
40,11887.6539764652,-10.7837038291888,4.10218851785798,35.6436331159691
45,11737.3851491469,-10.6367236640616,3.72642750995291,34.660331324748
50,11608.0419060173,-10.4968078945285,3.51516568703801,34.742065694366
55,11495.056742927,-10.3885719162377,3.43675330850475,34.0621593109137
60,11394.3142097905,-10.2754430060763,3.4606225748253,33.7254851593942
65,11304.730086343,-10.1726116380881,2.6955980728028,32.9572361293664
70,11224.0453574427,-10.0797805704968,2.88706386265488,33.1334650306997
75,11150.7037461527,-9.99569965183933,2.24832218539736,32.470960161774
80,11084.4550199814,-9.92293587375736,2.56625174145781,31.7742240186774
85,11023.1345968016,-9.85703986160009,2.02423906595822,31.1152222641232
90,10967.2631174181,-9.80019198743119,2.43691716480836,31.4299147545431
95,10915.5182169059,-9.74857582251086,1.97442038594322,30.8616958752439
100,10867.8326636096,-9.70235003105008,1.54430665988752,30.7384295712458
150,10524.322988265,-9.55097363679112,1.18129202613482,25.138522292035
200,10308.6522033516,-9.75952782651546,1.05399038796023,23.9717317077496
250,10149.8192067318,-10.1638098759582,0.490838365856886,20.6990282348221
300,10017.6091078642,-10.6735085015524,0.575078416854672,19.5203714059846
350,9900.6934750154,-11.2465529746455,0.411016411305802,16.9523317850694
400,9792.8568802098,-11.8436967840114,0.437634091195643,16.1579346289485
450,9691.35254264145,-12.4514348906407,0.323510495604194,14.8692492624475
500,9593.67319594789,-13.0652207003277,0.246758415305252,14.2762280340272
550,9498.49226485384,-13.6745590248924,0.299966184730915,12.9770840994731
600,9405.96989866716,-14.2732667044825,0.169784709489955,13.1243025389148
650,9315.95929223391,-14.85785583375,0.171311313556398,11.8311541949206
