f,ZN4L,PN4l,Perror,Zerror
3,14569.8702235097,-11.8778432831043,-0.206795091706735,39.7196963342262
4,14022.7122399073,-11.6688944774606,-0.551161278720232,37.8690070939971
5,13620.0173329722,-11.3797845637831,-0.587243503972724,35.3239074189181
6,13311.1661125428,-11.069053292475,-0.667363675775495,34.1407091701699
7,13066.1858932102,-10.7717026294587,-1.0241252335105,32.6940201619329
8,12866.7687194798,-10.482888347275,-1.03546806059031,31.7936072279293
9,12699.7426603109,-10.2104336470075,-1.57686139826214,30.5612254570798
10,12557.7157252031,-9.96763995692642,-1.92936581858323,30.0737182510629
15,12077.0815344567,-8.97743804883614,-1.84579747108019,25.368462989632
20,11787.7187316058,-8.29154198222578,-1.80086811729789,24.3807724372532
25,11591.6619851954,-7.7886267954476,-1.7973092648031,22.3226358266879
30,11447.190829501,-7.41216720810246,-1.33490541718964,22.5597610139523
35,11336.7878148674,-7.12922474320907,-2.32175277010466,21.4500846626519
40,11246.331973505,-6.90439345069554,-2.255562321054,21.0647533498982
45,11172.0759942085,-6.74010224732229,-2.0401222289359,20.3276181435765
50,11110.2124501364,-6.62324188168356,-1.70822610922458,20.2807311838976
55,11055.18998036,-6.50729770173586,-2.21443521165137,18.5529809311445
60,11008.9475061334,-6.43570444253147,-1.73542923844626,18.8899980318748
65,10967.0269636655,-6.38584435256116,-2.12430439996484,18.4132949010817
70,10929.3067730984,-6.3506900246529,-1.56179372073023,18.7489866460295
75,10895.2553107137,-6.32639561591308,-1.87920965087362,17.6466298298664
80,10864.5810277692,-6.32108715416537,-2.16684814287018,17.2610680339439
85,10835.9766528474,-6.32178243508624,-2.43654407545491,16.6374348672423
90,10809.3970170241,-6.33431283483148,-1.76330819078703,16.6444705577844
95,10784.6975121896,-6.35330954406469,-1.99637020479311,15.6345214596485
100,10761.8279100985,-6.38041245547906,-2.2131192943352,15.8361620432765
150,10582.8351909882,-6.89531289686405,-2.05204753823153,12.9843693862135
200,10451.4834982791,-7.63334293712503,-2.377810784104,13.9302392920593
250,10339.0625971161,-8.45645921528261,-2.52380136431956,11.1921454498611
300,10235.2525652938,-9.30226644869134,-1.60960790811158,11.3119362307599
350,10135.7056848489,-10.1583306393478,-1.62094599290418,9.53237961754288
400,10039.6917532528,-10.9940639909567,-1.59674470777748,9.40565737844825
450,9944.15858794842,-11.8108492727638,-1.56716539336421,7.71197101688738
500,9849.90807461637,-12.611639027094,-1.52379011303088,8.0214714750452
550,9756.38575558689,-13.3892197339738,-1.98448738358095,7.38818059325577
600,9663.71432792741,-14.1436724441103,-1.92768190109096,7.37907674427861
650,9572.28819280067,-14.8718327940767,-1.96099201589555,6.53472109008475
700,9482.79679677985,-15.5715053225612,-1.86868080185291,6.88119292492984
750,9393.99740041078,-16.2505980514308,-1.98001544668394,6.46498084627929
800,9305.68882199087,-16.9087191379793,-1.87316792280018,6.55708530570459
850,9220.62284738644,-17.5361608355497,-1.83693830034014,5.90870969573458
900,9133.98702917565,-18.1562280879914,-2.03649260974634,5.81744227310091
950,9051.18538436404,-18.7459027663025,-1.75462780720758,5.04591738309264
1000,8967.7164805584,-19.3234647261245,-1.69813039664831,5.81399216987022
1500,8215.40895184261,-24.1951208527185,-1.88172066738955,4.52620534274163
2000,7582.42408880797,-27.8813468545887,-1.94628933258769,4.59571361911373
2500,7048.06909111726,-30.7767287518794,-1.72999026125336,3.49851590973158
3000,6593.36358285293,-33.1158691650144,-1.76899719970543,3.97353051027432
3500,6201.3097376578,-35.043862372892,-1.9139547509045,3.26408761888308
4000,5860.35892115135,-36.6657808283509,-1.87089358047564,3.4522129346612
4500,5560.87382771598,-38.0455771108955,-1.96239252435687,3.27390778503606
5000,5295.51643611635,-39.2345959702169,-1.97305711622476,3.1467023928426
5500,5058.69942988713,-40.266149156636,-1.80482298619001,3.14445056990829
6000,4845.84254898486,-41.1696829615274,-1.94305634290297,3.32692132413871
6500,4653.26149898722,-41.9680656943937,-1.86403667689114,3.02150140449068
7000,4477.70402315291,-42.6809874427446,-2.06123442661368,3.23560331071811
7500,4318.6552853209,-43.3076224452363,-1.8835658163224,3.01938174253239
8000,4172.08491327445,-43.8734774724396,-2.10722189392243,3.13054162005379
8500,4036.6452935756,-44.3843966835381,-2.312680447127,2.89380228077867
9000,3912.44796013066,-44.8376779226663,-2.23778158231174,2.98337912363229
9500,3796.01233609423,-45.2579545911804,-2.21252347120091,3.00047716130103
10000,3688.8244855487,-45.6273382868017,-2.20057947374052,2.90908551022282
12500,3245.02961333327,-47.0543394436438,-2.00215080934183,2.45320507585997
15000,2913.52119320776,-47.967041486617,-2.28173410741682,2.84995998137264
17500,2655.54868068821,-48.5448326317295,-2.42704341217686,2.35829967818499
20000,2447.53775826723,-48.9104291641553,-2.55204405005735,2.47478745298438
22500,2277.55225101218,-49.1074245933576,-2.74187997048442,2.25510623399175
25000,2134.448985501,-49.1940844570317,-2.60259274765272,2.22401630014554
27500,2012.33750704832,-49.2019109162195,-2.86544840265199,2.03632521087554
30000,1907.72473250093,-49.133380053651,-2.7401892216673,2.10321384875733
32500,1815.65492362147,-49.017051352238,-2.44237359211822,2.07489296924346
35000,1734.24047284976,-48.8686013064207,-2.63859181391667,2.18668281443179
37500,1661.89833135498,-48.696420462863,-2.89438094602374,2.04618830992488
40000,1598.48401931862,-48.482404959975,-2.59720961733949,2.23257274648118
42500,1540.26035634646,-48.2644246272116,-2.5800601495581,2.2054020853518
45000,1488.28973098964,-48.0219312082711,-2.80256378458122,2.12805104367622
47500,1440.49115161645,-47.7735461143384,-2.74273454156379,2.2471560134326
50000,1397.16539807403,-47.5096971433272,-2.35008696688553,2.12524432702902
52500,1356.95812934967,-47.2455239549246,-2.43499559313328,2.21295874699598
55000,1320.62073154432,-46.9673640446284,-2.98187568278073,2.27256535754112
57500,1285.98197548519,-46.7003682306089,-2.64529559226353,2.35623030888148
60000,1255.24701403777,-46.409577530975,-2.76861729791637,2.39083738746473
62500,1225.76689667955,-46.1306592064294,-2.79279065319673,2.4509929532328
65000,1198.46691445322,-45.8469222445613,-2.63111857044167,2.50163410848657
67500,1173.28570143738,-45.5571412868113,-2.27687924006038,2.32047327148108
70000,1149.02037456561,-45.2779001852572,-2.6961772062656,2.60149030860035
72500,1126.78019755247,-44.9907644477902,-2.94820609376019,2.64668640865632
75000,1105.93080354655,-44.7037635303013,-3.08059024526595,2.4690617593151
77500,1085.76512080846,-44.4261741938448,-2.23205541669043,2.53493399843751
80000,1067.02140507224,-44.1454441535343,-2.15352708188641,2.5947052419511
82500,1049.64421632446,-43.8612760081294,-2.89200694896751,2.64761109073567
85000,1032.78582786544,-43.5855917733289,-2.63502571397682,2.49071247896472
