S3f, S3Zc,S3Z, S3Pc,S3P
1.000000000000000000e+00,1.672114320228987344e+04,9.070840360881028755e+04,-6.930520065018861864e+00,-2.198257524589750656e+00
2.000000000000000000e+00,1.540752574359661412e+04,9.037628623763979704e+04,-9.090796379577344766e+00,-4.381429585466160681e+00
3.000000000000000000e+00,1.459398558648927246e+04,8.983149051896887249e+04,-7.162048641933147941e+00,-6.534905107360954091e+00
4.000000000000000000e+00,1.410308946092771293e+04,8.908653305839483801e+04,-7.249494006503263144e+00,-8.644985611736057507e+00
5.000000000000000000e+00,1.373800082985133122e+04,8.815784358627820620e+04,-7.359421683946219872e+00,-1.069925610442036401e+01
6.000000000000000000e+00,1.344725912338830858e+04,8.706482715977956832e+04,-7.292934055703736540e+00,-1.268686648152501739e+01
7.000000000000000000e+00,1.322907690264240409e+04,8.582884765257274557e+04,-7.251327933351100263e+00,-1.459871235375803522e+01
8.000000000000000000e+00,1.304001134600456317e+04,8.447222618496223004e+04,-7.146024400757608142e+00,-1.642751525825652692e+01
9.000000000000000000e+00,1.289429242920270917e+04,8.301733121168900107e+04,-7.088828475973397936e+00,-1.816781154726513137e+01
1.000000000000000000e+01,1.275209996910169684e+04,8.148581304352916777e+04,-6.969684386720961022e+00,-1.981586572533577595e+01
1.500000000000000000e+01,1.227767179266234598e+04,7.332585224237316288e+04,-6.695563138661999147e+00,-2.664221432394795386e+01
2.000000000000000000e+01,1.199379425052002989e+04,6.548261236919544899e+04,-6.265210617452753539e+00,-3.129119565138020675e+01
2.500000000000000000e+01,1.179751344365338628e+04,5.869493421336902975e+04,-6.045998359057870530e+00,-3.421119411143483546e+01
3.000000000000000000e+01,1.164705336927706958e+04,5.307726723456093168e+04,-5.735010685435748101e+00,-3.586610289373535210e+01
3.500000000000000000e+01,1.155298665649161558e+04,4.850225038158843381e+04,-5.601200447094428547e+00,-3.662904749526448001e+01
4.000000000000000000e+01,1.145825069346391138e+04,4.478591407094457099e+04,-5.446953876229743585e+00,-3.677466196518935959e+01
4.500000000000000000e+01,1.138792207915942527e+04,4.175571139061498980e+04,-5.373617395315012146e+00,-3.649869308389139633e+01
5.000000000000000000e+01,1.133267316325264073e+04,3.926864647165517090e+04,-5.284268356373902797e+00,-3.593931781128971181e+01
5.500000000000000000e+01,1.127481840924592689e+04,3.721162360098473437e+04,-5.297911004765044396e+00,-3.519396349285832315e+01
6.000000000000000000e+01,1.122146662947515506e+04,3.549672015972516965e+04,-5.221954762833303398e+00,-3.433140481703453162e+01
6.500000000000000000e+01,1.118162861098625217e+04,3.405585177131729870e+04,-5.214033782648456850e+00,-3.340021538555832592e+01
7.000000000000000000e+01,1.114617998177456684e+04,3.283616757452740421e+04,-5.162875713586774218e+00,-3.243464397520347120e+01
7.500000000000000000e+01,1.112160304898542381e+04,3.179641421379214444e+04,-5.212426900059129231e+00,-3.145871990525806083e+01
8.000000000000000000e+01,1.108665993567525402e+04,3.090416550880095383e+04,-5.226478834498658799e+00,-3.048914470831953238e+01
8.500000000000000000e+01,1.105571603187215806e+04,3.013374044908781434e+04,-5.274792160843086108e+00,-2.953734666236789863e+01
9.000000000000000000e+01,1.103006806419287932e+04,2.946464352463915930e+04,-5.275256044212988549e+00,-2.861095216782325679e+01
9.500000000000000000e+01,1.100787427917493369e+04,2.888039385509559725e+04,-5.361242037855083353e+00,-2.771484660188234628e+01
1.000000000000000000e+02,1.097191429573268397e+04,2.836764185661487136e+04,-5.368221596185961175e+00,-2.685194332788899274e+01
1.500000000000000000e+02,1.080319389129538649e+04,2.549555618026808224e+04,-5.995561233525418032e+00,-2.005933281048658401e+01
2.000000000000000000e+02,1.066123895308145256e+04,2.437923131338643725e+04,-6.574394854169486102e+00,-1.578802492797189316e+01
2.500000000000000000e+02,1.055559893202024978e+04,2.383900330844960263e+04,-7.513983188894210130e+00,-1.297324464783291731e+01
3.000000000000000000e+02,1.044290869259596730e+04,2.353873678251716774e+04,-8.254697674964599940e+00,-1.101101276244718008e+01
3.500000000000000000e+02,1.034621538660923579e+04,2.335524048158959340e+04,-9.193331258912401438e+00,-9.577942039364078397e+00
4.000000000000000000e+02,1.024422280585676890e+04,2.323511207669286887e+04,-9.961678185386514173e+00,-8.492172212607666637e+00
4.500000000000000000e+02,1.014198180525993484e+04,2.315225479349786110e+04,-1.085512598698549880e+01,-7.645312963427079112e+00
5.000000000000000000e+02,1.004606191962977027e+04,2.309271742339108823e+04,-1.156812727455093714e+01,-6.969296988181571173e+00
5.500000000000000000e+02,9.951652844509535498e+03,2.304850268312106346e+04,-1.241798109251691429e+01,-6.419430411223114419e+00
6.000000000000000000e+02,9.850910128197072481e+03,2.301476327452146870e+04,-1.310108937246919858e+01,-5.965239707585339168e+00
6.500000000000000000e+02,9.761380409995255832e+03,2.298842404452601841e+04,-1.388502833080820587e+01,-5.585272430123361609e+00
7.000000000000000000e+02,9.657650470598289758e+03,2.296745855338771798e+04,-1.450877867828731205e+01,-5.264008653936235405e+00
7.500000000000000000e+02,9.577797201088984366e+03,2.295048782574421784e+04,-1.521728596604965134e+01,-4.989953075037752761e+00
