S2f, S2Zc,S2Z, S2Pc,S2P
3.00E+00,1.40E+04,8.98E+04,-1.11E+01,-6.53E+00
4.00E+00,1.34E+04,8.91E+04,-1.14E+01,-8.64E+00
5.00E+00,1.29E+04,8.82E+04,-1.20E+01,-1.07E+01
6.00E+00,1.24E+04,8.71E+04,-1.23E+01,-1.27E+01
7.00E+00,1.21E+04,8.58E+04,-1.24E+01,-1.46E+01
8.00E+00,1.18E+04,8.45E+04,-1.25E+01,-1.64E+01
9.00E+00,1.15E+04,8.30E+04,-1.25E+01,-1.82E+01
1.00E+01,1.13E+04,8.15E+04,-1.24E+01,-1.98E+01
1.50E+01,1.05E+04,7.33E+04,-1.25E+01,-2.66E+01
2.00E+01,1.01E+04,6.55E+04,-1.19E+01,-3.13E+01
2.50E+01,9.71E+03,5.87E+04,-1.15E+01,-3.42E+01
3.00E+01,9.47E+03,5.31E+04,-1.10E+01,-3.59E+01
3.50E+01,9.28E+03,4.85E+04,-1.07E+01,-3.66E+01
4.00E+01,9.13E+03,4.48E+04,-1.03E+01,-3.68E+01
4.50E+01,9.01E+03,4.18E+04,-1.00E+01,-3.65E+01
5.00E+01,8.91E+03,3.93E+04,-9.73E+00,-3.59E+01
5.50E+01,8.83E+03,3.72E+04,-9.57E+00,-3.52E+01
6.00E+01,8.75E+03,3.55E+04,-9.36E+00,-3.43E+01
6.50E+01,8.69E+03,3.41E+04,-9.24E+00,-3.34E+01
7.00E+01,8.63E+03,3.28E+04,-9.05E+00,-3.24E+01
7.50E+01,8.58E+03,3.18E+04,-8.96E+00,-3.15E+01
8.00E+01,8.53E+03,3.09E+04,-8.85E+00,-3.05E+01
8.50E+01,8.49E+03,3.01E+04,-8.79E+00,-2.95E+01
9.00E+01,8.45E+03,2.95E+04,-8.68E+00,-2.86E+01
9.50E+01,8.42E+03,2.89E+04,-8.65E+00,-2.77E+01
1.00E+02,8.39E+03,2.84E+04,-8.56E+00,-2.69E+01
1.50E+02,8.16E+03,2.55E+04,-8.75E+00,-2.01E+01
2.00E+02,8.01E+03,2.44E+04,-9.03E+00,-1.58E+01
2.50E+02,7.88E+03,2.38E+04,-9.72E+00,-1.30E+01
3.00E+02,7.77E+03,2.35E+04,-1.03E+01,-1.10E+01
3.50E+02,7.67E+03,2.34E+04,-1.11E+01,-9.58E+00
4.00E+02,7.57E+03,2.32E+04,-1.17E+01,-8.49E+00
4.50E+02,7.48E+03,2.32E+04,-1.25E+01,-7.65E+00
5.00E+02,7.39E+03,2.31E+04,-1.31E+01,-6.97E+00
5.50E+02,7.30E+03,2.30E+04,-1.38E+01,-6.42E+00
6.00E+02,7.22E+03,2.30E+04,-1.44E+01,-5.97E+00
6.50E+02,7.14E+03,2.30E+04,-1.51E+01,-5.59E+00
7.00E+02,7.06E+03,2.30E+04,-1.57E+01,-5.26E+00
7.50E+02,6.98E+03,2.30E+04,-1.63E+01,-4.99E+00
8.00E+02,6.91E+03,2.29E+04,-1.68E+01,-4.75E+00
8.50E+02,6.84E+03,2.29E+04,-1.73E+01,-4.55E+00
9.00E+02,6.76E+03,2.29E+04,-1.79E+01,-4.37E+00
9.50E+02,6.69E+03,2.29E+04,-1.84E+01,-4.22E+00
1.00E+03,6.62E+03,2.29E+04,-1.88E+01,-4.08E+00
1.50E+03,6.05E+03,2.29E+04,-2.28E+01,-3.36E+00
2.00E+03,5.58E+03,2.28E+04,-2.56E+01,-3.19E+00
2.50E+03,5.21E+03,2.28E+04,-2.81E+01,-3.24E+00
3.00E+03,4.89E+03,2.28E+04,-2.98E+01,-3.40E+00
3.50E+03,4.62E+03,2.28E+04,-3.15E+01,-3.62E+00
4.00E+03,4.38E+03,2.28E+04,-3.27E+01,-3.88E+00
4.50E+03,4.18E+03,2.28E+04,-3.38E+01,-4.17E+00
5.00E+03,4.00E+03,2.28E+04,-3.47E+01,-4.48E+00
5.50E+03,3.83E+03,2.28E+04,-3.56E+01,-4.80E+00
6.00E+03,3.69E+03,2.28E+04,-3.62E+01,-5.13E+00
6.50E+03,3.56E+03,2.27E+04,-3.68E+01,-5.46E+00
7.00E+03,3.44E+03,2.27E+04,-3.73E+01,-5.81E+00
7.50E+03,3.33E+03,2.27E+04,-3.78E+01,-6.15E+00
8.00E+03,3.23E+03,2.27E+04,-3.83E+01,-6.50E+00
8.50E+03,3.14E+03,2.27E+04,-3.87E+01,-6.85E+00
9.00E+03,3.05E+03,2.27E+04,-3.90E+01,-7.21E+00
9.50E+03,2.97E+03,2.26E+04,-3.93E+01,-7.57E+00
1.00E+04,2.90E+03,2.26E+04,-3.95E+01,-7.92E+00
1.25E+04,2.59E+03,2.25E+04,-4.09E+01,-9.72E+00
1.50E+04,2.36E+03,2.24E+04,-4.16E+01,-1.15E+01
1.75E+04,2.17E+03,2.22E+04,-4.22E+01,-1.33E+01
2.00E+04,2.02E+03,2.20E+04,-4.25E+01,-1.51E+01
2.25E+04,1.90E+03,2.18E+04,-4.26E+01,-1.68E+01
