S8f, S8Zc,S8Z, S8Pc,S8P
1.000000000000000000e+00,4.318313063090412470e+04,9.070840360881028755e+04,-1.759519781819298245e+01,-2.198257524589750656e+00
2.000000000000000000e+00,3.510311749551596586e+04,9.037628623763979704e+04,-2.294758231042840180e+01,-4.381429585466160681e+00
3.000000000000000000e+00,3.094935514437918027e+04,8.983149051896887249e+04,-1.842331289941956740e+01,-6.534905107360954091e+00
4.000000000000000000e+00,2.838674266262106539e+04,8.908653305839483801e+04,-1.900907701659689053e+01,-8.644985611736057507e+00
5.000000000000000000e+00,2.673204380272543494e+04,8.815784358627820620e+04,-1.981807154269481330e+01,-1.069925610442036401e+01
6.000000000000000000e+00,2.526344333709403145e+04,8.706482715977956832e+04,-2.017020253239545369e+01,-1.268686648152501739e+01
7.000000000000000000e+00,2.420672589054401396e+04,8.582884765257274557e+04,-2.041320624902065006e+01,-1.459871235375803522e+01
8.000000000000000000e+00,2.341169675999758329e+04,8.447222618496223004e+04,-2.065976442033639771e+01,-1.642751525825652692e+01
9.000000000000000000e+00,2.261388522652876054e+04,8.301733121168900107e+04,-2.100007998340007731e+01,-1.816781154726513137e+01
1.000000000000000000e+01,2.197180007388982995e+04,8.148581304352916777e+04,-2.107250861051646496e+01,-1.981586572533577595e+01
1.500000000000000000e+01,1.952397375565089533e+04,7.332585224237316288e+04,-2.200215867436396522e+01,-2.664221432394795386e+01
2.000000000000000000e+01,1.798981917037787935e+04,6.548261236919544899e+04,-2.191054014877453326e+01,-3.129119565138020675e+01
2.500000000000000000e+01,1.690454579820154686e+04,5.869493421336902975e+04,-2.201603494355782331e+01,-3.421119411143483546e+01
3.000000000000000000e+01,1.604979830670747651e+04,5.307726723456093168e+04,-2.176726882686585895e+01,-3.586610289373535210e+01
3.500000000000000000e+01,1.538291121109530468e+04,4.850225038158843381e+04,-2.163536669218135344e+01,-3.662904749526448001e+01
4.000000000000000000e+01,1.483714426629156333e+04,4.478591407094457099e+04,-2.131752604036713805e+01,-3.677466196518935959e+01
4.500000000000000000e+01,1.437090808961612856e+04,4.175571139061498980e+04,-2.112092889259763595e+01,-3.649869308389139633e+01
5.000000000000000000e+01,1.398464711578109745e+04,3.926864647165517090e+04,-2.075450235455258152e+01,-3.593931781128971181e+01
5.500000000000000000e+01,1.366287169379118131e+04,3.721162360098473437e+04,-2.056199572444454304e+01,-3.519396349285832315e+01
6.000000000000000000e+01,1.336777144213212159e+04,3.549672015972516965e+04,-2.027206531814927715e+01,-3.433140481703453162e+01
6.500000000000000000e+01,1.311230681399926107e+04,3.405585177131729870e+04,-2.009036660391574358e+01,-3.340021538555832592e+01
7.000000000000000000e+01,1.287494530015271448e+04,3.283616757452740421e+04,-1.979331085634375853e+01,-3.243464397520347120e+01
7.500000000000000000e+01,1.268303405346779073e+04,3.179641421379214444e+04,-1.961294004605109365e+01,-3.145871990525806083e+01
8.000000000000000000e+01,1.248993455043926224e+04,3.090416550880095383e+04,-1.937664530824174136e+01,-3.048914470831953238e+01
8.500000000000000000e+01,1.232106778284058964e+04,3.013374044908781434e+04,-1.920257923606964212e+01,-2.953734666236789863e+01
9.000000000000000000e+01,1.216581072579722968e+04,2.946464352463915930e+04,-1.896039845530237855e+01,-2.861095216782325679e+01
9.500000000000000000e+01,1.202225866855579807e+04,2.888039385509559725e+04,-1.879157006787315254e+01,-2.771484660188234628e+01
1.000000000000000000e+02,1.188634983955441021e+04,2.836764185661487136e+04,-1.850209903848658399e+01,-2.685194332788899274e+01
1.500000000000000000e+02,1.100527520082896626e+04,2.549555618026808224e+04,-1.754659966258225623e+01,-2.005933281048658401e+01
2.000000000000000000e+02,1.049750445777167442e+04,2.437923131338643725e+04,-1.668209156703532159e+01,-1.578802492797189316e+01
2.500000000000000000e+02,1.014046197687893073e+04,2.383900330844960263e+04,-1.643503286077421421e+01,-1.297324464783291731e+01
3.000000000000000000e+02,9.882845999544204460e+03,2.353873678251716774e+04,-1.629840259738391950e+01,-1.101101276244718008e+01
3.500000000000000000e+02,9.661311210472114908e+03,2.335524048158959340e+04,-1.649959434567140093e+01,-9.577942039364078397e+00
4.000000000000000000e+02,9.471729739848902682e+03,2.323511207669286887e+04,-1.663708147405634818e+01,-8.492172212607666637e+00
4.500000000000000000e+02,9.311526797668326253e+03,2.315225479349786110e+04,-1.695758591378361757e+01,-7.645312963427079112e+00
5.000000000000000000e+02,9.171604212053647643e+03,2.309271742339108823e+04,-1.726416018275279640e+01,-6.969296988181571173e+00
5.500000000000000000e+02,9.024250508551996973e+03,2.304850268312106346e+04,-1.767752283746072095e+01,-6.419430411223114419e+00
6.000000000000000000e+02,8.906043290883917507e+03,2.301476327452146870e+04,-1.797591408730240303e+01,-5.965239707585339168e+00
6.500000000000000000e+02,8.791683840353587584e+03,2.298842404452601841e+04,-1.843054696858422759e+01,-5.585272430123361609e+00
7.000000000000000000e+02,8.676963339110279776e+03,2.296745855338771798e+04,-1.879672369162594237e+01,-5.264008653936235405e+00
7.500000000000000000e+02,8.571274128470029609e+03,2.295048782574421784e+04,-1.922413702129285795e+01,-4.989953075037752761e+00
8.000000000000000000e+02,8.472255500160174051e+03,2.293654728326885379e+04,-1.958117435703655218e+01,-4.754415485032457589e+00
8.500000000000000000e+02,8.378098147839547892e+03,2.292494592382951305e+04,-2.003795128638325806e+01,-4.550707567985599056e+00
9.000000000000000000e+02,8.276191169537991300e+03,2.291517828955750520e+04,-2.039306027565132240e+01,-4.373599761970240252e+00
9.500000000000000000e+02,8.187762924473099702e+03,2.290686777522810371e+04,-2.077782849738916582e+01,-4.218945301412190041e+00
1.000000000000000000e+03,8.100768556898222414e+03,2.289972915168909822e+04,-2.109013312844814436e+01,-4.083414509894874200e+00
1.500000000000000000e+03,7.373848475548174065e+03,2.286134670845151413e+04,-2.476902893910588332e+01,-3.361997580027585641e+00
2.000000000000000000e+03,6.797696766610667510e+03,2.284503911389150380e+04,-2.729551736171934451e+01,-3.190529599641628522e+00
2.500000000000000000e+03,6.334723079094424975e+03,2.283435587482855044e+04,-2.976170525545932577e+01,-3.239829019684681732e+00
3.000000000000000000e+03,5.937778732618779941e+03,2.282523192239655327e+04,-3.150605048573922673e+01,-3.399583380516478126e+00
3.500000000000000000e+03,5.607556344223409724e+03,2.281627514953334321e+04,-3.323536940818078733e+01,-3.622390677216571042e+00
4.000000000000000000e+03,5.306377004105263950e+03,2.280690576967749803e+04,-3.448112430010191076e+01,-3.884503647794760983e+00
4.500000000000000000e+03,5.058965098008055975e+03,2.279684876666197670e+04,-3.571401476338674996e+01,-4.172703690474904192e+00
5.000000000000000000e+03,4.827860153962184086e+03,2.278596136458204637e+04,-3.666955510305018606e+01,-4.479041327662377725e+00
5.500000000000000000e+03,4.627555573714140337e+03,2.277416469607689942e+04,-3.758714666665119353e+01,-4.798442939886557568e+00
